"LIST-ID","occups_cats"
"454635","Unclassified"
"454728","Miscellaneous Services"
"454803","Metal-Working"
"454840","Unclassified"
"454948","Managerial"
"454962","Unclassified"
"454964","Unclassified"
"454983","Building"
"455006","Retail"
"455014","Building"
"455014","Unclassified"
"455015","Metal-Working"
"455016","Metal-Working"
"455016","Miscellaneous Services"
"455017","Clothing"
"455017","Clothing"
"455019","Retail"
"455020","Miscellaneous Services"
"455021","Clothing"
"455023","Metal-Working"
"455024","Metal-Working"
"455024","Clothing"
"455025","Retail"
"455027","Managerial"
"455029","Plastic Arts"
"455029","Plastic Arts"
"455030","Building"
"455030","Plastic Arts"
"455032","Miscellaneous Services"
"455042","Performing Arts"
"455313","Miscellaneous Services"
"455424","Water-Management"
"455424","Retail"
"455493","Retail"
"455506","Food-Retail"
"455506","Food-Production"
"455508","Miscellaneous Services"
"455636","Managerial"
"455687","Metal-Working"
"455687","Metal-Working"
"455687","Managerial"
"455701","Managerial"
"455840","Managerial"
"455867","Miscellaneous Services"
"455939","Performing Arts"
"455939","Performing Arts"
"456051","Performing Arts"
"456112","Performing Arts"
"456123","Managerial"
"456136","Performing Arts"
"456233","Performing Arts"
"456266","Managerial"
"456267","Managerial"
"456284","Food-Production"
"456400","Performing Arts"
"456415","Miscellaneous Services"
"456432","Building"
"456432","Performing Arts"
"456432","Food-Production"
"456432","Food-Production"
"456432","Food-Production"
"456432","Food-Production"
"456432","Food-Production"
"456432","Performing Arts"
"456432","Performing Arts"
"456432","Performing Arts"
"456432","Performing Arts"
"456432","Performing Arts"
"456432","Managerial"
"456432","Education"
"456432","Education"
"456432","Education"
"456432","Education"
"456432","Education"
"456432","Education"
"456432","Education"
"456432","Unclassified"
"456437","Managerial"
"456441","Unclassified"
"456598","Managerial"
"456601","Unclassified"
"456603","Clothing"
"456626","Unclassified"
"456661","Managerial"
"456724","Building"
"456730","Performing Arts"
"456730","Performing Arts"
"456730","Performing Arts"
"456730","Performing Arts"
"456730","Performing Arts"
"456730","Performing Arts"
"456730","Performing Arts"
"456730","Performing Arts"
"456730","Performing Arts"
"456730","Managerial"
"456730","Managerial"
"456744","Managerial"
"456781","Retail"
"456783","Clothing"
"456796","Food-Retail"
"456796","Food-Production"
"456796","Food-Production"
"456796","Managerial"
"456798","Food-Production"
"456842","Miscellaneous Services"
"456860","Metal-Working"
"456860","Metal-Working"
"456871","Food-Production"
"456876","Food-Retail"
"456876","Food-Production"
"456884","Clothing"
"456964","Metal-Working"
"456964","Managerial"
"456964","Managerial"
"456987","Managerial"
"457114","Miscellaneous Services"
"457114","Miscellaneous Services"
"457116","Retail"
"457169","Miscellaneous Services"
"457234","Building"
"457234","Unclassified"
"457237","Metal-Working"
"457237","Metal-Working"
"457364","Building"
"457383","Managerial"
"457438","Retail"
"457442","Retail"
"457445","Retail"
"457447","Retail"
"457457","Retail"
"457461","Retail"
"457463","Retail"
"457471","Retail"
"457475","Retail"
"457478","Transport"
"457482","Retail"
"457491","Retail"
"457495","Retail"
"457517","Retail"
"457687","Retail"
"457704","Miscellaneous Services"
"457750","Miscellaneous Services"
"457836","Miscellaneous Services"
"457838","Metal-Working"
"457936","Metal-Working"
"457980","Retail"
"457982","Retail"
"458024","Performing Arts"
"458049","Retail"
"458075","Metal-Working"
"458083","Transport"
"458083","Metal-Working"
"458084","Unclassified"
"458086","Retail"
"458087","Retail"
"458340","Finance"
"458342","Metal-Working"
"458346","Food-Production"
"458357","Miscellaneous Services"
"458467","Retail"
"458495","Retail"
"458722","Food-Retail"
"458801","Metal-Working"
"458802","Building"
"458814","Transport"
"459091","Education"
"459092","Metal-Working"
"459094","Performing Arts"
"459095","Building"
"459097","Retail"
"459099","Food-Retail"
"459099","Food-Retail"
"459099","Food-Retail"
"459099","Managerial"
"459099","Managerial"
"459210","Performing Arts"
"459302","Food-Production"
"459510","Metal-Working"
"459682","Building"
"459694","Plastic Arts"
"459707","Metal-Working"
"459707","Metal-Working"
"459722","Building"
"459822","Miscellaneous Services"
"459873","Miscellaneous Services"
"459948","Building"
"459951","Building"
"459983","Metal-Working"
"459992","Metal-Working"
"460068","Metal-Working"
"460074","Metal-Working"
"460075","Metal-Working"
"460077","Metal-Working"
"460078","Metal-Working"
"460470","Food-Production"
"460482","Miscellaneous Services"
"460559","Miscellaneous Services"
"460561","Building"
"461164","Building"
"461164","Miscellaneous Services"
"461168","Education"
"461168","Education"
"461168","Education"
"461168","Education"
"461170","Managerial"
"461171","Food-Production"
"461171","Food-Production"
"461171","Transport"
"461181","Building"
"461184","Miscellaneous Services"
"461184","Miscellaneous Services"
"461185","Unclassified"
"461185","Unclassified"
"461185","Unclassified"
"461199","Miscellaneous Services"
"461210","Unclassified"
"461210","Unclassified"
"461214","Miscellaneous Services"
"461214","Miscellaneous Services"
"461214","Miscellaneous Services"
"461214","Miscellaneous Services"
"461232","Managerial"
"461294","Unclassified"
"461307","Metal-Working"
"461375","Metal-Working"
"461475","Miscellaneous Services"
"461659","Metal-Working"
"461679","Metal-Working"
"461787","Metal-Working"
"461788","Metal-Working"
"461789","Metal-Working"
"461790","Metal-Working"
"461918","Miscellaneous Services"
"461919","Miscellaneous Services"
"462070","Managerial"
"462179","Managerial"
"462250","Metal-Working"
"462251","Metal-Working"
"462252","Metal-Working"
"462631","Miscellaneous Services"
"462847","Managerial"
"462946","Miscellaneous Services"
"463163","Plastic Arts"
"463388","Building"
"463665","Transport"
"463687","Metal-Working"
"463695","Retail"
"463830","Performing Arts"
"463831","Performing Arts"
"463831","Unclassified"
"463839","Miscellaneous Services"
"463848","Managerial"
"463857","Building"
"463882","Unclassified"
"463930","Managerial"
"463944","Building"
"463974","Unclassified"
"464117","Managerial"
"464152","Education"
"464243","Miscellaneous Services"
"464251","Managerial"
"464257","Managerial"
"464264","Food-Production"
"464401","Education"
"464533","Unclassified"
"464542","Unclassified"
"464564","Plastic Arts"
"464575","Unclassified"
"464594","Miscellaneous Services"
"464602","Unclassified"
"464610","Unclassified"
"464627","Retail"
"464630","Metal-Working"
"464631","Metal-Working"
"464641","Unclassified"
"464642","Unclassified"
"464680","Miscellaneous Services"
"464734","Clothing"
"464738","Managerial"
"464740","Retail"
"464749","Miscellaneous Services"
"464767","Clothing"
"464767","Unclassified"
"464768","Clothing"
"464769","Clothing"
"464769","Transport"
"464770","Unclassified"
"464772","Unclassified"
"464776","Building"
"464776","Unclassified"
"464779","Miscellaneous Services"
"464820","Unclassified"
"464856","Retail"
"464858","Unclassified"
"464883","Miscellaneous Services"
"464888","Managerial"
"464888","Unclassified"
"464889","Unclassified"
"465211","Metal-Working"
"465248","Managerial"
"465293","Building"
"465298","Transport"
"465354","Managerial"
"465354","Managerial"
"465354","Managerial"
"465354","Managerial"
"465354","Managerial"
"465354","Managerial"
"465441","Metal-Working"
"465559","Education"
"465561","Education"
"465588","Building"
"465628","Metal-Working"
"465631","Metal-Working"
