"","intersection_ID","country","province","prop_intersection_area","province_rural_pop_min","province_rural_pop_max","intersection_rural_pop_min","intersection_rural_pop_max","intersection_urban_pop","intersection_tot_pop_min","intersection_tot_pop_max"
"56","56_ALB_Dalmatia","ALB","Dalmatia",0.0716850206203487,876997.607515997,1066481.83253658,62867.5915787807,76450.7721566121,6684,69551.5915787807,83134.7721566121
"57","57_GRC_Epirus","GRC","Epirus",0.713428432163945,100247.186169008,149035.349642905,71519.1928574025,106326.055832743,103404,174923.192857402,209730.055832743
"58","58_ALB_Epirus","ALB","Epirus",0.286571567836055,100247.186169008,149035.349642905,28727.9933116055,42709.2938101618,26096,54823.9933116055,68805.2938101618
"59","59_ITA_Etruria_(Regio_VII)","ITA","Etruria (Regio VII)",1,918012.555633676,1015602.00748863,918012.555633676,1015602.00748863,167546,1085558.55563368,1183148.00748863
"60","60_TUR_Galatia","TUR","Galatia",1,1569707.67599863,1772662.24617763,1569707.67599863,1772662.24617763,56700,1626407.67599863,1829362.24617763
"61","61_LUX_Germania_Inferior","LUX","Germania Inferior",0.0126458914236142,440251.523077917,608523.234829281,5567.37295992411,7695.31875639756,0,5567.37295992411,7695.31875639756
"62","62_FRA_Germania_Inferior","FRA","Germania Inferior",0.003705613734161,440251.523077917,608523.234829281,1631.40209040283,2254.95205653946,0,1631.40209040283,2254.95205653946
"63","63_DEU_Germania_Inferior","DEU","Germania Inferior",0.225848802583086,440251.523077917,608523.234829281,99430.2793225275,137434.243930179,27987,127417.279322527,165421.243930179
"64","64_BEL_Germania_Inferior","BEL","Germania Inferior",0.439529315135715,440251.523077917,608523.234829281,193503.450425892,267463.800648684,26781,220284.450425892,294244.800648684
"65","65_NLD_Germania_Inferior","NLD","Germania Inferior",0.318270377123423,440251.523077917,608523.234829281,140119.01827917,193674.919437481,5837,145956.01827917,199511.919437481
"66","66_CHE_Germania_Superior","CHE","Germania Superior",0.235229141123346,1013001.72583026,1400188.4258803,238287.525923519,329365.120830673,14390,252677.525923519,343755.120830673
"67","67_FRA_Germania_Superior","FRA","Germania Superior",0.372006060655829,1013001.72583026,1400188.4258803,376842.781463672,520878.580487618,41068,417910.781463672,561946.580487618
"68","68_DEU_Germania_Superior","DEU","Germania Superior",0.392764798220825,1013001.72583026,1400188.4258803,397871.418443069,549944.724562011,37060,434931.418443069,587004.724562011
"69","69_PRT_Hispania_Citerior","PRT","Hispania Citerior",0.0456875531858055,4391588.07145149,5711553.2211785,200640.913584589,260946.891566151,4762,205402.913584589,265708.891566151
"70","70_FRA_Hispania_Citerior","FRA","Hispania Citerior",0.00559100260023408,4391588.07145149,5711553.2211785,24553.3803266423,31933.3089109843,0,24553.3803266423,31933.3089109843
"71","71_AND_Hispania_Citerior","AND","Hispania Citerior",0.00131919050384038,4391588.07145149,5711553.2211785,5793.3412806375,7534.62677155761,0,5793.3412806375,7534.62677155761
"72","72_ESP_Hispania_Citerior","ESP","Hispania Citerior",0.94740225371012,4391588.07145149,5711553.2211785,4160600.43625963,5411138.3939298,127185,4287785.43625963,5538323.3939298
"73","73_SYR_Iudaea","SYR","Iudaea",0.007486355782214,300092.76385417,372575.314570636,2246.60119788025,2789.23136054608,0,2246.60119788025,2789.23136054608
"74","74_PSE_Iudaea","PSE","Iudaea",0.334859735906348,300092.76385417,372575.314570636,100488.983651614,124760.471442348,88629,189117.983651614,213389.471442348
"75","75_EGY_Iudaea","EGY","Iudaea",0.000590575182261522,300092.76385417,372575.314570636,177.22733870854,220.033734308698,0,177.22733870854,220.033734308698
"76","76_JOR_Iudaea","JOR","Iudaea",0.111017494242854,300092.76385417,372575.314570636,33315.5466835025,41362.3778403752,1000,34315.5466835025,42362.3778403752
"77","77_PSE_Iudaea","PSE","Iudaea",0.0200603435772492,300092.76385417,372575.314570636,6019.96394796096,7473.98881868867,21921,27940.963947961,29394.9888186887
"78","78_ISR_Iudaea","ISR","Iudaea",0.525985495309073,300092.76385417,372575.314570636,157844.441034504,195969.21137437,94587,252431.441034504,290556.21137437
"79","79_VAT_Latium_et_Campania_(Regio_I)","VAT","Latium et Campania (Regio I)",2.77189040705778e-05,565907.658915629,626066.550964742,15.6863401102876,17.3538786679892,0,15.6863401102876,17.3538786679892
"80","80_ITA_Latium_et_Campania_(Regio_I)","ITA","Latium et Campania (Regio I)",0.999972281095929,565907.658915629,626066.550964742,565891.972575519,626049.197086074,1384701,1950592.97257552,2010750.19708607
"81","81_FRA_Liguria_(Regio_IX)","FRA","Liguria (Regio IX)",0.0114959377959096,429646.375603354,475319.993060205,4939.18800817415,5464.24907337227,0,4939.18800817415,5464.24907337227
"82","82_ITA_Liguria_(Regio_IX)","ITA","Liguria (Regio IX)",0.98850406220409,429646.375603354,475319.993060205,424707.18759518,469855.743986832,30599,455306.18759518,500454.743986832
"83","83_FRA_Lugdunensis","FRA","Lugdunensis",1,1643627.89978443,2271850.78075349,1643627.89978443,2271850.78075349,355110,1998737.89978443,2626960.78075349
"84","84_PRT_Lusitania","PRT","Lusitania",0.5772335491236,1374592.47154132,1787749.19935617,793460.890946375,1031948.81528724,29587,823047.890946375,1061535.81528724
"85","85_ESP_Lusitania","ESP","Lusitania",0.4227664508764,1374592.47154132,1787749.19935617,581131.580594941,755800.384068933,27308,608439.580594941,783108.384068933
"86","86_TUR_Lycia_et_Pamphylia","TUR","Lycia et Pamphylia",1,359042.72332037,405464.972954223,359042.72332037,405464.972954223,103491,462533.72332037,508955.972954223
"87","87_SRB_Macedonia","SRB","Macedonia",0.00230530874212794,335060.236300203,498126.893898524,772.417291882313,1148.3362831933,0,772.417291882313,1148.3362831933
"88","88_BGR_Macedonia","BGR","Macedonia",0.0236837263069262,335060.236300203,498126.893898524,7935.47493286804,11797.5010212119,0,7935.47493286804,11797.5010212119
"89","89_GRC_Macedonia","GRC","Macedonia",0.538380850588934,335060.236300203,498126.893898524,180390.015017833,268181.980838311,304049,484439.015017833,572230.980838311
"90","90_MKD_Macedonia","MKD","Macedonia",0.24660024028854,335060.236300203,498126.893898524,82625.9347827653,122838.21172956,4320,86945.9347827653,127158.21172956
"91","91_ALB_Macedonia","ALB","Macedonia",0.189029874073471,335060.236300203,498126.893898524,63336.394274855,94160.8640262474,19364,82700.394274855,113524.864026247
"92","92_MAR_Mauretania_Caesariensis","MAR","Mauretania Caesariensis",0.0671008493127342,1167151.53128717,1361132.15357453,78316.8590260276,91333.1235317217,0,78316.8590260276,91333.1235317217
"93","93_DZA_Mauretania_Caesariensis","DZA","Mauretania Caesariensis",0.932899150687266,1167151.53128717,1361132.15357453,1088834.67226114,1269799.0300428,111598,1200432.67226114,1381397.0300428
"94","94_MAR_Mauretania_Tingitana","MAR","Mauretania Tingitana",0.999216835083378,293548.334685676,342336.077414288,293318.437928617,342067.971808763,15344,308662.437928617,357411.971808763
"95","95_ESP_Mauretania_Tingitana","ESP","Mauretania Tingitana",0.000783164916622194,293548.334685676,342336.077414288,229.896757058691,268.10560552493,1000,1229.89675705869,1268.10560552493
"96","96_SRB_Moesia_Inferior","SRB","Moesia Inferior",0.0021394220393721,616018.440396234,749115.470281507,1317.92342804333,1602.67414715485,0,1317.92342804333,1602.67414715485
"97","97_BGR_Moesia_Inferior","BGR","Moesia Inferior",0.763122382981692,616018.440396234,749115.470281507,470097.46019584,571666.782809675,21771,491868.46019584,593437.782809675
"98","98_UKR_Moesia_Inferior","UKR","Moesia Inferior",0.00271728303781868,616018.440396234,749115.470281507,1673.89645907221,2035.5587607635,0,1673.89645907221,2035.5587607635
"99","99_ROU_Moesia_Inferior","ROU","Moesia Inferior",0.232020911941117,616018.440396234,749115.470281507,142929.160313279,173810.454563914,10871,153800.160313279,184681.454563914
"100","100_SRB_Moesia_Superior","SRB","Moesia Superior",0.864189040673651,546834.931670419,664984.163040886,472568.755007101,574672.025921474,35982,508550.755007101,610654.025921474
"101","101_BGR_Moesia_Superior","BGR","Moesia Superior",0.0567410799890468,546834.931670419,664984.163040886,31028.0045987162,37731.9195865523,0,31028.0045987162,37731.9195865523
"102","102_MNE_Moesia_Superior","MNE","Moesia Superior",7.87078152367865e-05,546834.931670419,664984.163040886,43.0401827669361,52.3394506400112,0,43.0401827669361,52.3394506400112
"103","103_MKD_Moesia_Superior","MKD","Moesia Superior",0.0772876375630735,546834.931670419,664984.163040886,42263.5800057714,51395.0549782878,3590,45853.5800057714,54985.0549782878
"104","104_ROU_Moesia_Superior","ROU","Moesia Superior",0.00118584835131395,546834.931670419,664984.163040886,648.463302162241,788.570373391919,0,648.463302162241,788.570373391919
"105","105_ALB_Moesia_Superior","ALB","Moesia Superior",0.000517685607677692,546834.931670419,664984.163040886,283.08857390119,344.252730539862,0,283.08857390119,344.252730539862
"106","106_CHE_Narbonensis","CHE","Narbonensis",0.00161318974691896,971378.621404724,1342656.25433531,1567.01803242637,2165.95930313033,3590,5157.01803242637,5755.95930313033
"107","107_FRA_Narbonensis","FRA","Narbonensis",0.995547028535477,971378.621404724,1342656.25433531,967053.100122362,1336677.44434809,215346,1182399.10012236,1552023.44434809
"108","108_ITA_Narbonensis","ITA","Narbonensis",0.000113088760726661,971378.621404724,1342656.25433531,109.852004491033,151.839331884681,0,109.852004491033,151.839331884681
"109","109_ESP_Narbonensis","ESP","Narbonensis",0.00272669295687698,971378.621404724,1342656.25433531,2648.65124544514,3661.01135220292,0,2648.65124544514,3661.01135220292
"110","110_AUT_Noricum","AUT","Noricum",0.818277633114665,589957.172083553,717423.400713542,482748.758411551,587051.522276951,28347,511095.758411551,615398.522276951
"111","111_SVN_Noricum","SVN","Noricum",0.107266922962206,589957.172083553,717423.400713542,63282.8905288873,76955.8006556232,2000,65282.8905288873,78955.8006556232
"112","112_ITA_Noricum","ITA","Noricum",0.00254010387750164,589957.172083553,717423.400713542,1498.55250036933,1822.32996196288,0,1498.55250036933,1822.32996196288
"113","113_DEU_Noricum","DEU","Noricum",0.0629349840427753,589957.172083553,717423.400713542,37128.9452109992,45151.0302758203,0,37128.9452109992,45151.0302758203
"114","114_HRV_Noricum","HRV","Noricum",0.00879734302587457,589957.172083553,717423.400713542,5190.05561339393,6311.4197508665,0,5190.05561339393,6311.4197508665
