"","std_spelling","Term","gen_sg","Term2","Vocab_nom_sg","gender","Source","HISCO_majorgroup","HISCO_minorgroup","Harris_Category","Subcategory","Translation_eng","Term_full"
"398","negotiator vinarius","negotiator cellarum vinarium","oris",NA,"negotiator","male","EDH/EDCS",4,43,"Retail",NA,"trader with wine","negotiator cellarum vinarium"
"399","negotiator vinarius","negotiator penoris et vinorum","oris",NA,"negotiator","male","EDH/EDCS",4,43,"Retail",NA,"wine trader","negotiator penoris et vinorum"
"400","negotiator vinarius","negotiator vini","oris",NA,"negotiator","male","EDH/EDCS",4,43,"Retail",NA,"wine trader","negotiator vini"
"401","nummularius","nummularius","i",NA,"nummularius","male","Waltzing - Rome",3,33,"Finance",NA,"a money-changer","nummularius"
"402","nummularius","numularius","i",NA,NA,"male","Petrikovits 1981a",3,33,"Finance",NA,"a money-changer","numularius"
"403","oculariarius","oculariarius","i",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"artisan, glass eye maker for statues","oculariarius"
"404","ocularius","ocularius","i",NA,NA,"male","EDH/EDCS",0,6,"Miscellaneous Services",NA,"eye doctor, eye related discipline","ocularius"
"405","offector","offector","oris",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing","Colour production","dyer","offector"
"406","offector","offectorus","i",NA,"offectorus","male","Waltzing - provinces",7,75,"Clothing","Colour production","dye maker","offectorus"
"407","officinator","officinator","oris",NA,NA,"male","Petrikovits 1981a",5,51,"Miscellaneous Services",NA,"one who keeps a workshop, a master-workman, an artificer, artist","officinator"
"408","officinatrix","officinatrix","icis",NA,NA,"female","Petrikovits 1981a",5,51,"Miscellaneous Services",NA,"female one who keeps a workshop, a master-workman, an artificer, artist","officinatrix"
"409","olarius","olarius","i",NA,NA,"male","Petrikovits 1981a",8,89,"Household Goods",NA,"potter","olarius"
"410","olarius","ollarius","i",NA,NA,"male","Petrikovts 1981b",8,89,"Household Goods",NA,"potter","ollarius"
"411","olearius","oleareus","i",NA,NA,"male","Petrikovits 1981a",6,61,"Food-Production",NA,"oil-maker, olive oil dealer","oleareus"
"412","olearius","olearius","i",NA,"olearius","male","Waltzing - Rome",6,61,"Food-Production",NA,"oil-maker, olive oil dealer","olearius"
"413","olitor","olitor","oris",NA,"olitor","male","Waltzing - provinces",6,63,"Food-Production",NA,"a kitchen-gardener","olitor"
"414","operarius","operarius","i",NA,NA,"male","Petrikovits 1981a",9,94,"Miscellaneous Services",NA,"a laborer, workman, operative","operarius"
"415","opifex","opifex","icis",NA,"opifex","male","Waltzing - provinces",0,2,"Building",NA,"a worker, workman, mechanic, artisan","opifex"
"416","ornator","ornator","oris",NA,NA,"male","Petrikovits 1981a",5,54,"Miscellaneous Services",NA,"An adorner, dresser","ornator"
"417","ornatrix","ornatrix","icis",NA,NA,"female","Petrikovits 1981a",5,54,"Miscellaneous Services",NA,"female adorner, dresser","ornatrix"
"418","paenularius","paenularius","i",NA,NA,"male","Petrikovits 1981a",7,79,"Clothing",NA,"cloak or mantle maker and seller","paenularius"
"419","palangarius","palangarius","i",NA,"palangarius","male","Waltzing - Rome",5,53,"Food-Retail",NA,"wine bearer","palangarius"
"420","panarius","panarius","i",NA,NA,"male","Petrikovits 1981a",4,45,"Food-Retail",NA,"a bread-seller","panarius"
"421","pantomimus","pantomimus","i",NA,"pantomimus","male","Waltzing - provinces",1,17,"Performing Arts",NA,"a ballet-dancer","pantomimus"
"422","parasitus","parasitus","i",NA,"parasitus","male","Waltzing - provinces",1,17,"Performing Arts",NA,"a player, actor","parasitus"
"423","parietarius","parietarius","i",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"a painter","parietarius"
"424","pastilarius","pastilarius","i",NA,"pastilarius","male","Waltzing - Rome",5,53,"Food-Production",NA,"a maker of pastils","pastilarius"
"425","pastilarius","pastillarius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"a maker of pastils","pastillarius"
"426","pausarius","pausarius","i",NA,"pausarius","male","Waltzing - Rome",3,33,"Finance",NA,"A money-changer, banker","pausarius"
"427","pavimentarius","pavimentarius","i",NA,"pavimentarius","male","Waltzing - Rome",9,95,"Building","Stone worker","a maker of pavements","pavimentarius"
"428","pectenarius","pectenarius","i",NA,NA,"male","Petrikovits 1981a",8,81,"Household Goods",NA,"a combmaker","pectenarius"
"429","pectenarius","pectinarius","i",NA,NA,"male","Petrikovits 1981a",8,81,"Household Goods",NA,"a combmaker","pectinarius"
"430","pectenarius","pectinator","oris",NA,NA,"male","Petrikovits 1981a",8,81,"Household Goods",NA,"a combmaker","pectinator"
"431","pecuarius","pecuarius","i",NA,"pecuarius","male","Waltzing - Rome",6,62,"Food-Production",NA,"sheep, cattle breader","pecuarius"
"432","pecuarius","pequarius","i",NA,"pequarius","male","Waltzing - Rome",6,62,"Food-Production",NA,"sheep, cattle breader","pequarius"
"433","pellarius","pellarius","i",NA,NA,"male","Petrikovits 1981a",7,76,"Clothing",NA,"one that prepares skins, a furrier","pellarius"
"434","pellarius","pellio","onis",NA,NA,"male","Petrikovits 1981a",7,76,"Clothing",NA,"one that prepares skins, a furrier","pellio"
"435","pellarius","pellionarius","i",NA,"pellionarius","male","Waltzing - Rome",7,76,"Clothing",NA,"one who prepared skins for the use of soldiers","pellionarius"
"436","peponarius","peponarius","i",NA,"peponarius","male","Waltzing - Rome",4,45,"Food-Retail",NA,"melon seller","peponarius"
"437","pernarius","pernarius","i",NA,NA,"male","Petrikovits 1981a",4,45,"Food-Retail",NA,"a ham-seller","pernarius"
"438","picarius","picarius","i",NA,NA,"male","Petrikovits 1981a",7,74,"Fuel / Raw material",NA,"pitch (resin) boiler","picarius"
"439","pigmentarius","pigmentarius","i",NA,"pigmentarius","male","Waltzing - Rome",4,43,"Retail",NA,"dye seller","pigmentarius"
"440","pincerna","pincerna","ae",NA,NA,"male","Petrikovits 1981a",5,53,"Miscellaneous Services",NA,"cupbearer","pincerna"
"441","pinctor","pictor","oris",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"painter","pictor"
"442","pinctor","pinctor","oris",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"painter","pinctor"
"443","piscator","piscator","oris",NA,"piscator","male","Waltzing - Rome",6,64,"Food-Production",NA,"a fisherman, fisher","piscator"
"444","piscicapus","piscicapus","i",NA,"piscicapus","male","Waltzing - provinces",6,64,"Food-Production",NA,"a fish-catcher","piscicapus"
"445","pistor","pistor","oris",NA,"pistor","male","Waltzing - Rome",6,61,"Food-Production",NA,"one who pounds corn in a mortar or grinds it in a hand-mill, a miller, a baker","pistor"
"446","pistor","pistur","uris",NA,NA,"male","Petrikovits 1981a",6,61,"Food-Production",NA,"one who pounds corn in a mortar or grinds it in a hand-mill, a miller, a baker","pistur"
"447","plaustrarius","plaustrarius","i",NA,NA,"male","Petrikovits 1981a",9,97,"Transport","Land transport","a vehicle for freight, wagon, wain, cart maker","plaustrarius"
"448","plaustrarius","plostrarius","i",NA,NA,"male","Petrikovits 1981a",9,97,"Transport","Land transport","a vehicle for freight, wagon, wain, cart maker","plostrarius"
"449","plombarius","plombarius","i",NA,NA,"male","Petrikovits 1981a",8,87,"Metal-Working",NA,"a plumber, lead worker","plombarius"
"450","plombarius","plumbarius","i",NA,NA,"male","Petrikovits 1981a",8,87,"Metal-Working",NA,"a plumber, lead worker","plumbarius"
"451","plumarius","plumarius","i",NA,"plumarius","male","Waltzing - Rome",7,79,"Household Goods",NA,"an embroiderer","plumarius"
"452","plutearius","plutearius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building",NA,"a maker of balustrades","plutearius"
"453","plutearius","plutiarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building",NA,"a maker of balustrades","plutiarius"
"454","poeta","poeta","ae",NA,"poeta","male","Waltzing - Rome",1,17,"Performing Arts",NA,"a poet","poeta"
"455","polio","polio","onis",NA,NA,"male","Petrikovits 1981a",5,56,"Miscellaneous Services",NA,"a cultivator, improver, a polisher","polio"
"456","polio","politor","oris",NA,NA,"male","Petrikovits 1981a",5,56,"Miscellaneous Services",NA,"a cultivator, improver, a polisher","politor"
"457","polio","pollio","onis",NA,NA,"male","Petrikovits 1981a",5,56,"Miscellaneous Services",NA,"a cultivator, improver, a polisher","pollio"
"458","pollinctor","pollictor","oris",NA,NA,"male","Petrikovits 1981a",5,59,"Death-care sector",NA,"corpse washer and preparer","pollictor"
"459","pollinctor","pollinctor","oris",NA,NA,"male","Petrikovits 1981a",5,59,"Death-care sector",NA,"corpse washer and preparer","pollinctor"
"460","pomarius","pomarius","i",NA,"pomarius","male","Waltzing - provinces",4,45,"Food-Retail",NA,"of fruit, of fruittrees seller","pomarius"
"461","popinarius","popinarius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Retail",NA,"a cook-shop, eatinghouse, low tavern owner","popinarius"
"462","popinarius","popinator","oris",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Retail",NA,"a cook-shop, eatinghouse, low tavern owner","popinator"
"463","porcinarius","porcinarius","i",NA,"porcinarius","male","Waltzing - Rome",6,62,"Food-Production",NA,"pig breader","porcinarius"
"464","possessor","possessor","oris",NA,"possessor","male","Waltzing - provinces",2,22,"Managerial",NA,"a possessor, owner","possessor"
"465","professor","professor","oris",NA,"professor","male","Waltzing - provinces",1,13,"Education",NA,"a public teacher","professor"
"466","promus","promus","i",NA,NA,"male","Petrikovits 1981a",5,53,"Miscellaneous Services",NA,"a cellarer, steward, butler","promus"
"467","propola","propola","ae",NA,"propola","male","Waltzing - provinces",4,45,"Retail",NA,"a forestaller, retailer, huckster","propola"
"468","psecas","psecas","adis",NA,NA,"female","Petrikovits 1981a",5,57,"Miscellaneous Services",NA,"a female slave who perfumed her mistress's hair","psecas"
"469","pugillariarius","pugillariarius","i",NA,NA,"male","Petrikovits 1981a",7,73,"Miscellaneous Services",NA,"maker of small writing boards","pugillariarius"
"470","purpurarius","purpurarius","i",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing","Colour production","purple colour dyer","purpurarius"
"471","quadratatorius","quadratarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building","Stone worker","stonemason","quadratarius"
"472","quadratatorius","quadratatorius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building","Stone worker","stonemason","quadratatorius"
"473","quadrigularius","quadrigularius","i",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"a painter","quadrigularius"
"474","quasillaria","quasillaria","ae",NA,NA,"female","Petrikovits 1981a",7,75,"Clothing",NA,"a basketwench, spinning-girl","quasillaria"
"475","ratiarius","ratiarius","i",NA,"ratiarius","male","Waltzing - provinces",9,98,"Transport","Maritime/water transport","a raftsman, lighterman","ratiarius"
"476","redemptor","redemptor","oris",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"a miller, bread-maker, baker","redemptor"
"477","refector pectinarius","refector pectinarius","oris",NA,"refector","male","Petrikovits 1981a",8,81,"Household Goods",NA,"a restorer, repairer of combs","refector pectinarius"
"478","resinaria","resinaria","ae",NA,NA,"female","Petrikovits 1981a",7,74,"Fuel / Raw material",NA,"female resin maker","resinaria"
"479","restiarius","restiarius","i",NA,NA,"male","Petrikovits 1981a",4,43,"Retail",NA,"A ropemaker, rope-seller","restiarius"
"480","restiarius","resticularius","i",NA,NA,"male","Petrikovits 1981a",4,43,"Retail",NA,"A ropemaker, rope-seller","resticularius"
"481","restiarius","restio","onis",NA,"restio","male","Waltzing - Rome",4,43,"Retail",NA,"A ropemaker, rope-seller","restio"
"482","retiarius","retiarius","i",NA,"retiarius","male","Waltzing - provinces",1,17,"Performing Arts",NA,"a gladiator who used a net to entangle his adversary, net-fighter","retiarius"
"483","rosarius","rosarius","i",NA,"rosarius","male","Waltzing - Rome",4,43,"Retail",NA,"seller of roses","rosarius"
"484","saburrarius","saburrarius","i",NA,"saburrarius","male","Waltzing - Rome",9,97,"Transport","Maritime/water transport","one who carries ballast to ships","saburrarius"
"485","saccarius","sacarius","i",NA,NA,"male","Petrikovits 1981a",9,97,"Transport","Land transport","one who carries sacks, sack maker","sacarius"
"486","saccarius","saccarius","i",NA,"saccarius","male","Waltzing - Rome",9,97,"Transport","Land transport","one who carries sacks, sack maker","saccarius"
"487","sacomarius","sacomarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Miscellaneous Services",NA,"one who makes counterpoises or weights ","sacomarius"
"488","sagarius","sagarius","i",NA,"sagarius","male","Waltzing - Rome",4,43,"Retail",NA,"a dealer in mantles","sagarius"
"489","sagittarius","sagittarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"arrow-makers, arrow-smiths","sagittarius"
"490","salarius","salarius","i",NA,"salarius","male","Waltzing - Rome",4,43,"Retail",NA,"salt maker, dealer","salarius"
"491","salgamarius","salgamarius","i",NA,NA,"male","Petrikovits 1981a",4,43,"Food-Production",NA,"one who makes or sells pickles","salgamarius"
"492","salinator","salinator","oris",NA,"salinator","male","Waltzing - provinces",4,45,"Food-Retail",NA,"a dealer in salt","salinator"
"493","salsamentarius","salsamentarius","i",NA,NA,"male","Petrikovits 1981a",4,45,"Food-Retail",NA,"a dealer in salted fish","salsamentarius"
"494","salsarius","salsarius","i",NA,NA,"male","EDH/EDCS",6,61,"Food-Production",NA,"salt-worker, uncertain","salsarius"
"495","sandaliarius","sandaliarius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Clothing","Shoe maker","sandal, shoe maker","sandaliarius"
"496","sarcinator","sarcinator","oris",NA,NA,"male","Petrikovits 1981a",7,79,"Clothing",NA,"a patcher, botcher, mender of old garments","sarcinator"
"497","sarcinator","sarcitor","oris",NA,NA,"male","Petrikovits 1981a",7,79,"Clothing",NA,"a patcher, botcher, mender of old garments","sarcitor"
"498","sarcinatrix","sarcinatrix","icis",NA,NA,"female","Petrikovits 1981b",7,79,"Clothing",NA,"female patcher, botcher, mender of old garments","sarcinatrix"
"499","sarcinatrix","sartcitrix","icis",NA,NA,"female","Petrikovits 1981b",7,79,"Clothing",NA,"female patcher, botcher, mender of old garments","sartcitrix"
"500","sartor","sarsor","oris",NA,NA,"male","Petrikovits 1981a",6,61,"Miscellaneous Services",NA,"A hoer, weeder, cultivator","sarsor"
"501","sartor","sartor","oris",NA,NA,"male","Petrikovits 1981a",6,61,"Miscellaneous Services",NA,"A hoer, weeder, cultivator","sartor"
"502","sartor","sartur","uris",NA,NA,"male","Petrikovits 1981a",6,61,"Miscellaneous Services",NA,"A hoer, weeder, cultivator","sartur"
"503","scabillarius","scabillarius","i",NA,"scabillarius","male","Waltzing - Rome",9,99,"Miscellaneous Services",NA,"player of a footstool, cricket","scabillarius"
"504","scaenarius","scaenarius","i",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"a painter","scaenarius"
"505","scaenicus","scaenicus","i",NA,"scaenicus","male","Waltzing - Rome",1,17,"Performing Arts",NA,"of the stage, scenic, dramatic, theatrical","scaenicus"
"506","scalarius","scalarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building",NA,"step maker, ladder maker","scalarius"
"507","scalptor","scalptor","oris",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"a cutter, graver in metal or stone","scalptor"
"508","scamillarius","scamillarius","i",NA,"scamillarius","male","Waltzing - provinces",9,99,"Miscellaneous Services",NA,"player of a footstool, cricket","scamillarius"
"509","scapharius","scapharius","i",NA,"scapharius","male","Waltzing - Rome",0,4,"Transport","Maritime/water transport","owner of a small boat","scapharius"
"510","scaurarius","scaurarius","i",NA,NA,"male","Petrikovits 1981a",7,72,"Metal-Working",NA,"slag worker","scaurarius"
"511","scholasticus","scholasticus","i",NA,"scholasticus","male","Waltzing - provinces",1,13,"Education",NA,"who teaches or studies rhetoric, a lecturer in the schools, a rhetorician","scholasticus"
"512","scissor","scissor","oris",NA,NA,"male","Petrikovits 1981a",8,82,"Building",NA,"a carver, kind of gladiator","scissor"
"513","scriba","scriba","ae",NA,"scriba","male","Waltzing - Rome",3,30,"Education",NA,"a public writer, official scribe, professional writer, clerk, secretary","scriba"
"514","scriptor","scriptor","oris",NA,"scriptor","male","Petrikovits 1981a",3,30,"Managerial",NA,"one who writes, a writer, scribe, copyist, clerk","scriptor"
"515","sculptor","sculptor","oris",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"one who cuts, carves, or engraves in stone, wood","sculptor"
"516","sculptor","scultor","oris",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"one who cuts, carves, or engraves in stone, wood","scultor"
"517","scutarius","scutarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Miscellaneous Services",NA,"shield maker","scutarius"
"518","sector","sector","oris",NA,"sector","male","Waltzing - Rome",8,82,"Building",NA,"one who cuts, a cutter","sector"
"519","segmentarius","segmentarius","i",NA,NA,"male","Petrikovits 1981a",8,88,"Metal-Working",NA,"trimmer with gold or seller","segmentarius"
"520","seplasiarius","seplasiarius","i",NA,NA,"male","Petrikovits 1981a",9,94,"Miscellaneous Services",NA,"anoitment maker and seller","seplasiarius"
"521","sericarius","sericarius","i",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"silk producer and dealer","sericarius"
"522","serrarius","serrarius","i",NA,"serrarius","male","Waltzing - provinces",8,82,"Building","Stone worker","stone-sawyer","serrarius"
"523","sessoriarius","sessoriarius","i",NA,NA,"male","Petrikovits 1981a",8,81,"Household Goods",NA,"armchair maker","sessoriarius"
"524","sigillarius","sigillariarius","i",NA,NA,"male","Petrikovits 1981a",8,89,"Household Goods",NA,"a potter","sigillariarius"
"525","sigillarius","sigillarius","i",NA,NA,"male","Petrikovits 1981a",8,89,"Household Goods",NA,"a potter","sigillarius"
"526","sigillarius","sigillator","oris",NA,NA,"male","Petrikovits 1981a",8,89,"Household Goods",NA,"a potter","sigillator"
"527","signarius","signarius","i",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"a sculptor","signarius"
"528","signator","signator","oris",NA,NA,"male","Petrikovits 1981a",3,39,"Finance",NA,"one who stamps money, a coiner","signator"
"529","similaginarius","siliginarius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"wheat bread baker","siliginarius"
"530","similaginarius","similaginarius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"wheat bread baker","similaginarius"
"531","sindoniacus","sindiniacus","i",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"cotton stuff, muslin maker","sindiniacus"
"532","sindoniacus","sindoniacus","i",NA,"sindoniacus","male","Waltzing - provinces",7,75,"Clothing",NA,"cotton stuff, muslin maker","sindoniacus"
"533","sindoniacus","sintoniacus","i",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"cotton stuff, muslin maker","sintoniacus"
"534","siricarius","siricaria","ae",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"silk producer and dealer","siricaria"
"535","siricarius","siricarius","i",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"silk producer and dealer","siricarius"
"536","solearius","solatarius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Clothing","Shoe maker","shoe maker","solatarius"
"537","solearius","solearius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Clothing","Shoe maker","shoe maker","solearius"
"538","solearius","soliarius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Clothing","Shoe maker","shoe maker","soliarius"
"539","spatharius","spatharius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"a broad sword with a double edge, sabre maker","spatharius"
"540","specularius","speclariarius","i",NA,NA,"male","Petrikovits 1981a",8,89,"Glass-Working",NA,"a mirror-maker, window glass maker","speclariarius"
"541","specularius","speclarius","i",NA,NA,"male","Petrikovits 1981a",8,89,"Glass-Working",NA,"a mirror-maker, window glass maker","speclarius"
"542","specularius","speculariarius","i",NA,NA,"male","Petrikovits 1981a",8,89,"Glass-Working",NA,"a mirror-maker, window glass maker","speculariarius"
"543","specularius","specularius","i",NA,"specularius","male","Waltzing - Rome",8,89,"Glass-Working",NA,"a mirror-maker, window glass maker","specularius"
"544","statuarius","statuarius","i",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"a maker of statues, a statuary ","statuarius"
"545","structor","sructor","oris",NA,NA,"male","Petrikovits 1981a",9,95,"Building","Wood worker","a builder, mason, carpenter","sructor"
"546","structor","structor","oris",NA,"structor","male","Waltzing - Rome",9,95,"Building","Wood worker","a builder, mason, carpenter","structor"
"547","stuppator","stuppator","oris",NA,NA,"male","Petrikovits 1981a",8,81,"Building","Wood worker","caulker, joiner","stuppator"
"548","suarius","suarius","i",NA,"suarius","male","Waltzing - Rome",6,62,"Food-Production",NA,"pig breader","suarius"
"549","subaedanus","subaedanus","i",NA,NA,"male","Petrikovits 1981b",5,54,"Miscellaneous Services",NA,"worker inside the house","subaedanus"
"550","subaedanus","subaedius","i",NA,NA,"male","Petrikovits 1981a",5,54,"Miscellaneous Services",NA,"worker inside the house","subaedius"
"551","subaedanus","subedius","i",NA,NA,"male","Petrikovits 1981a",5,54,"Miscellaneous Services",NA,"worker inside the house","subedius"
"552","subaedianus","subaedianus","i",NA,"subaedianus","male","Waltzing - Rome",9,95,"Building","Wood worker","carpenter ?","subaedianus"
"553","subaedianus","subidianus","i",NA,"subidianus","male","Waltzing - provinces",9,95,"Building","Wood worker","carpenter ?","subidianus"
"554","subrutor","subrutor","oris",NA,"subrutor","male","Waltzing - Rome",9,99,"Building",NA,"demolisher","subrutor"
"555","suppostor","suppostor","oris",NA,NA,"male","Petrikovits 1981a",3,31,"Finance",NA,"coin maker","suppostor"
"556","susceptor","susceptor","oris",NA,"susceptor","male","Waltzing - Rome",9,99,"Miscellaneous Services",NA,"one who undertakes any thing, contractor","susceptor"
"557","sutor","sutor","oris",NA,"sutor","male","Waltzing - Rome",8,80,"Clothing","Shoe maker","a shoemaker, cobbler","sutor"
"558","tabernacularius","tabernaclarius","i",NA,NA,"male","Petrikovits 1981a",7,79,"Miscellaneous Services",NA,"tent maker","tabernaclarius"
"559","tabernacularius","tabernacularius","i",NA,NA,"male","Petrikovits 1981a",7,79,"Miscellaneous Services",NA,"tent maker","tabernacularius"
"560","tabernarius","tabernarius","i",NA,"tabernarius","male","Waltzing - Rome",4,45,"Retail",NA,"shopkeepers, small dealers","tabernarius"
"561","tector","tector","oris",NA,"tector","male","Waltzing - provinces",9,95,"Building",NA,"one that overlays walls with plaster, stucco, etc., a plasterer, pargeter","tector"
"562","tegularius","tegularius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building",NA,"a tile, roof-tile maker","tegularius"
"563","tessalarius","tessalarius","i",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"mosaicer, maker of mosaic","tessalarius"
"564","tessalarius","tesselator","oris",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"mosaicer, maker of mosaic","tesselator"
"565","tessalarius","tessellarius","i",NA,NA,"male","Petrikovits 1981a",1,16,"Plastic Arts",NA,"mosaicer, maker of mosaic","tessellarius"
"566","testarius","testarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building",NA,"tile, brick maker","testarius"
"567","textor","textor","oris",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"weaver","textor"
"568","textrix","textrix","icis",NA,NA,"female","Petrikovits 1981a",7,75,"Clothing",NA,"female weaver","textrix"
"569","tibiarius","tibiarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Transport","Maritime/water transport","fleet manufacturer, ship maker","tibiarius"
"570","tibicinus","tibicinus","i",NA,"tibicinus","male","Waltzing - Rome",1,17,"Performing Arts",NA,"flute player","tibicinus"
"571","tignarius","ticnarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building","Wood worker","carpenter","ticnarius"
"572","tignarius","tignarius","i",NA,"tignarius","male","Waltzing - provinces",9,95,"Building","Wood worker","carpenter","tignarius"
"573","tignarius","tignor","oris",NA,NA,"male","Petrikovits 1981a",9,95,"Building","Wood worker","carpenter","tignor"
"574","tignarius","tignuarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building","Wood worker","carpenter","tignuarius"
"575","tinctor","tinctor","oris",NA,"tinctor","male","Waltzing - Rome",7,75,"Clothing","Colour production","a dyer","tinctor"
"576","tonsor","tonsor","oris",NA,"tonsor","male","Waltzing - Rome",5,57,"Miscellaneous Services",NA,"a shearer, clipper, shaver, hair-cutter, barber","tonsor"
"577","tonsor","tosor","oris",NA,NA,"male","Petrikovits 1981a",5,57,"Miscellaneous Services",NA,"hairdresser and shearers","tosor"
"578","tonsor","tussor","oris",NA,NA,"male","Petrikovits 1981a",5,57,"Miscellaneous Services",NA,"hairdresser and shearers","tussor"
"579","tonstrix","tonstrix","icis",NA,NA,"female","Petrikovits 1981a",5,55,"Miscellaneous Services",NA,"female hairdresser and shearers","tonstrix"
"580","tonstrix","tostrix","icis",NA,NA,"female","Petrikovits 1981a",5,57,"Miscellaneous Services",NA,"female hairdresser and shearers","tostrix"
"581","topiarius","topiarius","i",NA,NA,"male","Petrikovits 1981a",5,55,"Miscellaneous Services",NA,"gardener, landscaper","topiarius"
"582","tosillaria","tonsillaria","ae",NA,NA,"female","Petrikovits 1981a",5,57,"Miscellaneous Services",NA,"female hairdresser","tonsillaria"
"583","tosillaria","tosillaria","ae",NA,NA,"female","Petrikovits 1981a",5,57,"Miscellaneous Services",NA,"female hairdresser","tosillaria"
"584","tractator","tractator","oris",NA,NA,"male","Petrikovits 1981a",0,6,"Miscellaneous Services",NA,"A slave among the Romans, who manipulated and suppled his master's limbs while anointing them; a shampooer","tractator"
"585","transvectuarius","transvectuarius","i",NA,"transvectuarius","male","Waltzing - provinces",0,4,"Transport","Maritime/water transport","ship owner","transvectuarius"
"586","trapezita","trapezita","ae",NA,"trapezita","male","Waltzing - provinces",3,33,"Finance",NA,"a money-changer","trapezita"
"587","tubarius","tubarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Miscellaneous Services","Military","a trumpet, war-trumpet maker and distributor","tubarius"
"588","tubularius","tubularius","i",NA,NA,"male","Petrikovits 1981a",8,87,"Water-Management",NA,"pipe maker","tubularius"
"589","unctor","uctor","oris",NA,NA,"male","Petrikovits 1981a",5,57,"Miscellaneous Services",NA,"an anointer","uctor"
"590","unctor","unctor","oris",NA,"unctor","male","Waltzing - Rome",5,57,"Miscellaneous Services",NA,"an anointer","unctor"
"591","unctrix","unctrix","icis",NA,NA,"female","Petrikovits 1981a",5,57,"Miscellaneous Services",NA,"female perfume or ointment maker","unctrix"
"592","unguentarius","ungnetarius","i",NA,NA,"male","Petrikovits 1981a",5,57,"Miscellaneous Services",NA,"perfume or ointment maker","ungnetarius"
"593","unguentarius","unguentarius","i",NA,NA,"male","Petrikovits 1981a",5,57,"Miscellaneous Services",NA,"perfume or ointment maker","unguentarius"
"594","urinator","urinator","oris",NA,"urinator","male","Waltzing - Rome",6,64,"Food-Production",NA,"a fisherman","urinator"
"595","ustor","ustor","oris",NA,NA,"male","Petrikovits 1981a",5,59,"Death-care sector",NA,"mortician","ustor"
"596","utricularius","utriclarius","i",NA,"utriclarius","male","Waltzing - provinces",0,4,"Transport","Maritime/water transport","a bagpiper, The master of a raft floated on bladders, used for ferriage","utriclarius"
"597","utricularius","utricularius","i",NA,"utricularius","male","Waltzing - provinces",0,4,"Transport","Maritime/water transport","a bagpiper, The master of a raft floated on bladders, used for ferriage","utricularius"
"598","vascularius","vasclarius","i",NA,NA,"male","Petrikovits 1981a",8,88,"Metal-Working",NA,"a worker in metals, whitesmith, goldsmith","vasclarius"
