"","std_spelling","Term","gen_sg","Term2","Vocab_nom_sg","gender","Source","HISCO_majorgroup","HISCO_minorgroup","Harris_Category","Subcategory","Translation_eng","Term_full"
"73","camararius","camararius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building",NA,"vault building worker","camararius"
"74","camararius","camarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building",NA,"vault building worker","camarius"
"75","canalicularius","canalicularius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Water-Management",NA,"canal constructor, specialized worker","canalicularius"
"76","candelabrarius","candelabrarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"manufacturer of candelabra, lamp-stand","candelabrarius"
"77","candidarius","candidarius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"a baker","candidarius"
"78","candidator","candidator","oris",NA,NA,"male","Petrikovits 1981a",7,79,"Clothing",NA,"uncertain, textile washer","candidator"
"79","capistrarius","capistrarius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Household Goods",NA,"a halter-maker","capistrarius"
"80","caplator","caplator","oris",NA,"caplator","male","Waltzing - provinces",9,97,"Transport",NA,"oil transporter","caplator"
"81","capsarius","capsarius","i",NA,NA,"male","Petrikovits 1981a",0,6,"Miscellaneous Services",NA,"healing asssitant, producer of capsae (a repository, box, bookcase)","capsarius"
"82","capulator","capulator","oris",NA,"capulator","male","Waltzing - Rome",5,53,"Miscellaneous Services",NA,"decanter","capulator"
"83","carbonarius","carbonarius","i",NA,NA,"male","Petrikovits 1981a",7,71,"Fuel / Raw material",NA,"coal handler, worker, miner","carbonarius"
"84","carbonarius","carbonarus","i",NA,NA,"male","Petrikovits 1981a",7,71,"Fuel / Raw material",NA,"coal handler, worker, miner","carbonarus"
"85","carminator","carminator","oris",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"a carder, practitioner of carding, a method of preparing wool for use as a textile","carminator"
"86","carpentarius","carpentarius","i",NA,NA,"male","Petrikovits 1981b",9,95,"Transport","Land transport","a wheelwright","carpentarius"
"87","carpentarius","carrocarpentarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Transport","Land transport","a wheelwright","carrocarpentarius"
"88","carrarius","carrarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Transport","Land transport","a wheelwright, cart maker","carrarius"
"89","cassidarius","cassidarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"a helmet smith","cassidarius"
"90","caudicarius","caudicarius","i",NA,"caudicarius","male","Waltzing - Rome",9,98,"Transport","Maritime/water transport","those who sail on such ships (esp. those who brought the corn from Ostia to Rome)","caudicarius"
"91","caudicarius","codicarius","i",NA,"codicarius","male","Waltzing - Rome",9,98,"Transport","Maritime/water transport","those who sail on such ships (esp. those who brought the corn from Ostia to Rome)","codicarius"
"92","caupo","caupo","onis",NA,NA,"male","Petrikovits 1981a",4,43,"Retail",NA,"a petty tradesman, huckster, innkeeper","caupo"
"93","cavator","cabator","oris",NA,NA,"male","Petrikovits 1981a",8,83,"Miscellaneous Services",NA,"engraver, maker of hollow spaces","cabator"
"94","cavator","cavator","oris",NA,NA,"male","Petrikovits 1981a",8,82,"Miscellaneous Services",NA,"engraver, maker of hollow spaces","cavator"
"95","cellariarius","cellararius","i",NA,NA,"male","Petrikovits 1981a",5,55,"Household Goods",NA,"one who keeps provisions, a steward, butler","cellararius"
"96","cellariarius","cellariarius","i",NA,NA,"male","Petrikovits 1981b",5,55,"Household Goods",NA,"one who keeps provisions, a steward, butler","cellariarius"
"97","cellariarius","cellaricarius","i",NA,NA,"male","Petrikovits 1981a",5,55,"Household Goods",NA,"one who keeps provisions, a steward, butler","cellaricarius"
"98","cellariarius","cellarius","i",NA,NA,"male","Petrikovits 1981a",5,55,"Household Goods",NA,"one who keeps provisions, a steward, butler","cellarius"
"99","cellariarius","cellio","onis",NA,NA,"male","Petrikovits 1981a",5,55,"Household Goods",NA,"one who keeps provisions, a steward, butler","cellio"
"100","centonarius","centonarius","i",NA,"centonarius","male","Waltzing - Rome",7,79,"Clothing",NA,"a maker of patchwork, a dealer in rags","centonarius"
"101","cerarius","cerarius","i",NA,NA,"male","Petrikovits 1981a",7,77,"Household Goods",NA,"manufacturer of wax products","cerarius"
"102","cerdo","cerdo","onis",NA,NA,"male","Petrikovits 1981a",9,94,"Miscellaneous Services",NA,"a handicraftsman","cerdo"
"103","ceriolarius","ceriolarius","i",NA,NA,"male","Petrikovits 1981a",7,77,"Household Goods",NA,"wax candles manufacturer","ceriolarius"
"104","cervesarius","cervesarius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"beermaker, brewer","cervesarius"
"105","chartarius","cartharius","i",NA,NA,"male","Petrikovits 1981a",9,91,"Miscellaneous Services",NA,"papyrus maker","cartharius"
"106","chartarius","chartarius","i",NA,NA,"male","Petrikovits 1981a",9,91,"Miscellaneous Services",NA,"papyrus maker","chartarius"
"107","chorographus","chorographus","i",NA,NA,"male","Petrikovits 1981a",0,2,"Miscellaneous Services",NA,"cartograph, map maker","chorographus"
"108","circumitor","circitor","oris",NA,"circitor","male","Waltzing - provinces",2,22,"Managerial",NA,"A watchman, overseer, supervisor","circitor"
"109","circumitor","circumitor","oris",NA,NA,"male","Petrikovits 1981a",2,22,"Managerial",NA,"A watchman, overseer, supervisor","circumitor"
"110","cisiarius","cisianus","i",NA,NA,"male","Petrikovits 1981a",9,95,"Transport",NA,"uncertain, the maker / driver of a cabriolet","cisianus"
"111","cisiarius","cisiarius","i",NA,"cisiarius","male","Waltzing - Rome",9,95,"Transport","Land transport","The maker / driver of a cabriolet","cisiarius"
"112","citrarius","citrarius","i",NA,"citrarius","male","Waltzing - Rome",8,81,"Household Goods",NA,"maker of furniture out of citrus trees","citrarius"
"113","claustrarius","clastrarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Household Goods",NA,"lock maker and seller","clastrarius"
"114","claustrarius","claustrarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Household Goods",NA,"lock maker and seller","claustrarius"
"115","clavarius","claharus","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"nail maker","claharus"
"116","clavarius","clavarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"nail maker","clavarius"
"117","claviclarius","claviclarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"A bar, bolt of the door maker, or guardian of a prison","claviclarius"
"118","claviclarius","clavicularius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"A bar, bolt of the door maker, or guardian of a prison","clavicularius"
"119","clibanarius","clibanarius","i",NA,"clibanarius","male","Waltzing - provinces",5,53,"Food-Production",NA,"a soldier clad in mail, a cuirassier, baker","clibanarius"
"120","coactarius","coactarius","i",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"felt maker","coactarius"
"121","coactarius","coactiliarius","i",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"felt maker","coactiliarius"
"122","coactor","coactor","oris",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"felt producer or seller","coactor"
"123","coactor","coator","oris",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing",NA,"felt producer or seller","coator"
"124","coctarius","coctarius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"a cook","coctarius"
"125","coctarius","coctor","oris",NA,"coctor","male","Waltzing - Rome",5,53,"Food-Production",NA,"a cook, master distiller","coctor"
"126","coctarius","coctuarius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"a cook","coctuarius"
"127","coctarius","cocus","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"a cook ","cocus"
"128","colorator","colorator","oris",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing","Colour production","dyer, colormaker, painter","colorator"
"129","columnarius","columnarius","i",NA,NA,"male","Petrikovits 1981a",9,95,"Building",NA,"column manufacturer","columnarius"
"130","conchylegulus","conchylegulus","i",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing","Colour production","a collector of purpur shell-fish","conchylegulus"
"131","conchylegulus","conchyliarius","i",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing","Colour production","a collector of purpur shell-fish","conchyliarius"
"132","conchylegulus","conchyliolegulus","i",NA,"conchyliolegulus","male","Waltzing - provinces",7,75,"Clothing","Colour production","a collector of purpur shell-fish","conchyliolegulus"
"133","conchylegulus","conquiliarius","i",NA,NA,"male","Petrikovits 1981a",7,75,"Clothing","Colour production","a collector of purpur shell-fish","conquiliarius"
"134","conditarius","conditarius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"fine cook, foor preparer","conditarius"
"135","conditor","conditor","oris",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"cook, a seasoner, pickler","conditor"
"136","confector","confector","oris",NA,NA,"male","Petrikovits 1981a",7,76,"Miscellaneous Services",NA,"an accomplisher, finisher, a tanner","confector"
"137","confectuarius","confectorarius","i",NA,"confectorarius","male","Waltzing - Rome",5,53,"Food-Production",NA,"a butcher","confectorarius"
"138","confectuarius","confectuarius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"a butcher","confectuarius"
"139","conflator","conflator","oris",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"a metal-caster","conflator"
"140","copo","copo","onis",NA,NA,"male","Petrikovits 1981a",5,51,"Miscellaneous Services",NA,"innkeeper","copo"
"141","corarianus","corarianus","i",NA,NA,"male","Petrikovits 1981a",7,76,"Clothing",NA,"tanner of leather and hides","corarianus"
"142","corarianus","corarius","i",NA,"corarius","male","Waltzing - Rome",7,76,"Clothing",NA,"tanner of leather and hides","corarius"
"143","corarianus","coriarius","i",NA,"coriarius","male","Waltzing - provinces",7,76,"Clothing",NA,"a tanner, currier","coriarius"
"144","cornicen","cornicen","nis",NA,"cornicen","male","Waltzing - Rome",1,17,"Performing Arts",NA,"a hornblower, trumpeter, cornet-player","cornicen"
"145","coronarius","coronarius","i",NA,"coronarius","male","Waltzing - Rome",8,88,"Miscellaneous Services",NA,"maker of wreaths/crowns","coronarius"
"146","crepidarius","crepidarius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Clothing","Shoe maker","a sandal-maker, shoemaker","crepidarius"
"147","cretaria","cretaria","ae",NA,NA,"male","Petrikovits 1981a",4,43,"Retail",NA,"a shop for Cretan earth, pottery, seller, maker","cretaria"
"148","cretaria","cretarius","i",NA,NA,"male","EDH/EDCS",4,43,"Retail",NA,"a shop for Cretan earth, pottery, pottery maker","cretarius"
"149","culinarius","culinarius","i",NA,"culinarius","male","Waltzing - provinces",5,53,"Food-Production",NA,"pertaining to the kitchen, culinary, kitchen worker","culinarius"
"150","cullearius","cullearius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Household Goods",NA,"maker of a leather bag, sack for liquids","cullearius"
"151","cultellarius","cultellarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"maker of a small knife","cultellarius"
"152","cultellarius","cultrarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"knife maker, cutler","cultrarius"
"153","cunarius","cunarius","i",NA,NA,"male","Petrikovits 1981a",5,54,"Miscellaneous Services",NA,"nanny, babysitter","cunarius"
"154","cuparius","cuparius","i",NA,"cuparius","male","Waltzing - provinces",8,83,"Metal-Working",NA,"a cooper","cuparius"
"155","curator","curator","oris",NA,"curator","male","Waltzing",2,21,"Managerial",NA,"he who takes charge, a manager, overseer, superintendent, keeper, commissioner, delegate","curator"
"156","curator navium","curator navium","oris",NA,"curator","male","Waltzing - Rome",2,21,"Managerial",NA,"ship manager","curator navium"
"157","custodiarius","custodiarius","i",NA,"custodiarius","male","Waltzing - Rome",5,58,"Miscellaneous Services",NA,"a jailer","custodiarius"
"158","dealbator","dealbator","oris",NA,NA,"male","Petrikovits 1981a",9,93,"Building",NA,"who whitens over, a whitewasher, a pargeter, plasterer","dealbator"
"159","decanus","decanus","i",NA,"decanus","male","Waltzing - Rome",2,22,"Managerial",NA,"A chief of ten, one set over ten persons","decanus"
"160","dendrophorus","dendrophorus","i",NA,"dendrophorus","male","Waltzing - Rome",9,95,"Building","Wood worker","a carpenter","dendrophorus"
"161","diffusor","diffusor","oris",NA,"diffusor","male","Waltzing - provinces",4,43,"Food-Retail",NA,"trader of oil","diffusor"
"162","dissignator","dissignator","oris",NA,"dissignator","male","Waltzing - provinces",2,21,"Managerial",NA,"an undertaker, manager","dissignator"
"163","dolabrarius","dolabrarius","i",NA,"dolabrarius","male","Waltzing - provinces",8,83,"Metal-Working",NA,"a pickaxe-maker","dolabrarius"
"164","dolator","dolator","oris",NA,NA,"male","Petrikovits 1981a",9,95,"Building",NA,"worker with an axe","dolator"
"165","dominus navium","dominus navium","i",NA,"dominus","male","Waltzing - Rome",0,4,"Transport","Maritime/water transport","shipmaster","dominus navium"
"166","dulciarius","dulciarius","i",NA,NA,"male","Petrikovits 1981a",5,53,"Food-Production",NA,"Confectioner, baker","dulciarius"
"167","eborarius","eborarius","i",NA,"eborarius","male","Waltzing - Rome",8,88,"Miscellaneous Services",NA,"a worker in ivory","eborarius"
"168","eborarius","eburarius","i",NA,NA,"male","Petrikovits 1981a",8,88,"Miscellaneous Services",NA,"a worker in ivory","eburarius"
"169","embaenitarius","embaenitarius","i",NA,NA,"male","Petrikovits 1981a",NA,NA,"Unclassified",NA,"uncertain","embaenitarius"
"170","emporus","emporus","i",NA,"emporus","male","Waltzing - provinces",4,45,"Retail",NA,"a trader","emporus"
"171","ephippiarius","ephippiarius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Transport","Land transport","saddler","ephippiarius"
"172","ephippiarius","epippiarius","i",NA,NA,"male","Petrikovits 1981a",8,80,"Transport","Land transport","saddler","epippiarius"
"173","erarius","erarius","i",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"coppersmith","erarius"
"174","essedarius","essedarius","i",NA,NA,"male","Petrikovits 1981a",5,58,"Miscellaneous Services","Military","a fighter in a war-chariot","essedarius"
"175","exactor auri argenti et aeris","exactor auri argenti et aeris","oris",NA,"exactor","male","Petrikovits 1981a",3,31,"Finance",NA,"overseer of gold and silver money production,a collector of taxes, a tax gatherer","exactor auri argenti et aeris"
"176","exceptor","exceptor","oris",NA,"exceptor","male","Waltzing - Rome",3,32,"Education",NA,"an amanuensis, short-hand writer, scribe","exceptor"
"177","exclussor","exclussor","oris",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"blacksmith","exclussor"
"178","exclussor","excusor","oris",NA,NA,"male","Petrikovits 1981a",8,83,"Metal-Working",NA,"blacksmith","excusor"
"179","exonerator","exonerator","oris",NA,"exonerator","male","Waltzing - Rome",9,97,"Transport","Land transport","an unloader of calc (calcarii)","exonerator"
"180","extructor","extructor","oris",NA,NA,"male","Petrikovits 1981a",0,2,"Building",NA,"builder","extructor"
"181","faber","faber","ri",NA,"faber","male","Waltzing - Rome",9,99,"Unclassfied",NA,"a worker in wood, stone, metal, etc., a forger, smith, artificer, carpenter, joiner","faber"
"182","faber aciarius","faber","ri","aciarius","faber","male","EDH/EDCS",7,75,"Clothing",NA,"thread maker, textile worker","faber aciarius"
"183","faber aerarius","faber","ri","aerarius","faber","male","Waltzing - Rome",8,83,"Metal-Working",NA,"bronze worker","faber aerarius"
"184","faber anularius","faber","ri","anularius","faber","male","EDH/EDCS",8,88,"Metal-Working",NA,"signet-ring maker","faber anularius"
"185","faber argentarius","faber","ri","argentarius","faber","male","Waltzing - Rome",8,88,"Metal-Working",NA,"silver-smith, money-maker","faber argentarius"
"186","faber carpentarius","faber","ri","carpentarius","faber","male","EDH/EDCS",9,95,"Transport","Land transport","a wheelwright worker","faber carpentarius"
"187","faber centonarius","faber","ri","centonarius","faber","male","Ghent Database Roman Guilds",7,75,"Clothing",NA,"textile maker","faber centonarius"
"188","faber dolabrarius","faber","ri","dolabrarius","faber","male","Waltzing - Rome",8,83,"Metal-Working",NA,"axe maker","faber dolabrarius"
"189","faber ferrarius","faber","ri","ferrarius","faber","male","Waltzing - Rome",8,83,"Metal-Working",NA,"blacksmith","faber ferrarius"
"190","faber intestinarius","faber","ri","intestinarius","faber","male","EDH/EDCS",9,95,"Building",NA,"joiner, wood worker","faber intestinarius"
"191","faber lapidarius","faber","ri","lapidarius","faber","male","EDH/EDCS",7,71,"Building",NA,"stone worker, letter cutter","faber lapidarius"
"192","faber lectarius","faber","ri","lectarius","faber","male","EDH/EDCS",8,81,"Household Goods",NA,"couch maker","faber lectarius"
"193","faber limarius","faber","ri","limarius","faber","male","EDH/EDCS",8,83,"Clothing",NA,"file cutter, maker, textile worker","faber limarius"
"194","faber navalis","faber","ri","navalis","faber","male","Waltzing - Rome",9,95,"Transport","Maritime/water transport","boat constructors","faber navalis"
"195","faber subaedianus","faber","ri","subaedianus","faber","male","Ghent Database Roman Guilds",NA,NA,"Unclassified",NA,"unspecified house worker","faber subaedianus"
"196","faber tignarius","faber","ri","tignarius","faber","male","Waltzing - Rome",0,2,"Building",NA,"builder","faber tignarius"
"197","faber tignarius","faber","ri","tignuarius","faber","male","Waltzing - Rome",0,2,"Building",NA,"builder","faber tignuarius"
