"","iter","province","urb_pop_grand_total","rural_pop_min_grand_total","rural_pop_max_grand_total","tot_pop_min_grand_total","tot_pop_max_grand_total"
"39",1,"Mauretania Caesariensis",65839125.9644301,688580769.261051,803022915.405568,754419895.225481,868862041.369998
"40",1,"Mauretania Tingitana",9642418.9928372,173183800.641777,201966953.915398,182826219.634614,211609372.908235
"41",1,"Moesia Inferior",20757173.4218518,391728496.978219,476365410.502572,412485670.40007,497122583.924424
"42",1,"Moesia Superior",25163987.0917689,347734437.528615,422865988.451206,372898424.620384,448029975.542975
"43",1,"Narbonensis",149978463.994554,665426762.13723,919764327.007351,815405226.131783,1069742791.0019
"44",1,"Noricum",19076947.1306738,370863076.455644,450991804.320692,389940023.586318,470068751.451365
"45",1,"Numidia",83444385.7042846,344224739.509061,401434902.360007,427669125.213346,484879288.064292
"46",1,"Pannonia Inferior",21388769.5086411,148793386.580054,180941706.37327,170182156.088695,202330475.881911
"47",1,"Pannonia Superior",29895500.1866502,367459314.524547,446852625.113492,397354814.711197,476748125.300142
"48",1,"Picenum (Regio V)",38861187.1548657,148525036.70859,164314011.303957,187386223.863455,203175198.458822
"49",1,"Raetia",12926960.1581737,537208793.754233,742539243.631885,550135753.912407,755466203.790059
"50",1,"Samnium (Regio IV)",40253609.9910543,310305690.646065,343292780.061982,350559300.637119,383546390.053036
"51",1,"Sardinia",8472166.57091317,508877628.779143,562973935.576957,517349795.350056,571446102.14787
"52",1,"Sicilia",222925482.582931,582183985.609658,644073134.821959,805109468.192589,866998617.40489
"53",1,"Syria",100702477.53661,444752981.611953,552175866.895697,545455459.148562,652878344.432306
"54",1,"Thracia",94914444.0526846,232461834.768161,345596042.615057,327376278.820846,440510486.667741
"55",1,"Transpadana (Regio XI)",55713169.6656302,422854341.713229,467805931.066815,478567511.378859,523519100.732445
"56",1,"Umbria (Regio VI)",66458922.0539624,289326858.166261,320083789.890219,355785780.220223,386542711.944181
"57",1,"Venetia et Histria (Regio X)",104585089.292785,1229475272.8009,1360174811.93633,1334060362.09368,1464759901.22911
"58",2,"Achaia",484773102.070196,104146008.510796,154831645.510244,588919110.580991,639604747.58044
"59",2,"Aegyptus",522314808.081446,2125787150.74585,2655407542.51131,2648101958.82729,3177722350.59275
"60",2,"Aemilia (Regio VIII)",54112423.7144889,487254465.955935,539052119.435407,541366889.670424,593164543.149896
"61",2,"Africa Proconsularis",339339734.332133,1005469057.92918,1172578047.90984,1344808792.26131,1511917782.24197
