nominative_original	nominative_stripped	translation	category	hisco_code	all_forms	form_count
τυλυφάντης	τυλυφαντης	Cushion weaver	Textiles	75110	τυλυφαντα|τυλυφανται|τυλυφανταις|τυλυφαντας|τυλυφαντη|τυλυφαντηα|τυλυφαντηη|τυλυφαντην|τυλυφαντηου|τυλυφαντης|τυλυφαντηω|τυλυφαντων	12
τυροπώλης	τυροπωλης	Cheesemonger	Food Preparation and Retail	45190	τυροπωλα|τυροπωλαι|τυροπωλαις|τυροπωλας|τυροπωλη|τυροπωληα|τυροπωληη|τυροπωλην|τυροπωληου|τυροπωλης|τυροπωληω|τυροπωλων	12
ὑληφόρος	υληφορος	Wood carrier	Transport	98310	υληφορε|υληφοροι|υληφοροις|υληφορον|υληφορος|υληφορου|υληφορους|υληφορω|υληφορων	9
ὑλότομος	υλοτομος	Woodcutter	Fuel and Raw Materials	71120	υλοτομε|υλοτομοι|υλοτομοις|υλοτομον|υλοτομος|υλοτομου|υλοτομους|υλοτομω|υλοτομων	9
ὑλοφόρος	υλοφορος	Wood carrier	Transport	98310	υλοφορε|υλοφοροι|υλοφοροις|υλοφορον|υλοφορος|υλοφορου|υλοφορους|υλοφορω|υλοφορων	9
ὑοπώλης	υοπωλης	Pig Dealer	Agriculture, Animal Husbandry	62210	υοπωλα|υοπωλαι|υοπωλαις|υοπωλας|υοπωλη|υοπωληα|υοπωληη|υοπωλην|υοπωληου|υοπωλης|υοπωληω|υοπωλων	12
ὑπηρετής	υπηρετης	Architect’s assistant	Construction	95990	υπηρετα|υπηρεται|υπηρεταις|υπηρετας|υπηρετη|υπηρετηα|υπηρετηη|υπηρετην|υπηρετηου|υπηρετης|υπηρετηω|υπηρετων	12
ὑποδηματοποιός	υποδηματοποιος	Sandal maker	Leatherwork and Footwear	80110	υποδηματοποιε|υποδηματοποιοι|υποδηματοποιοις|υποδηματοποιον|υποδηματοποιος|υποδηματοποιου|υποδηματοποιους|υποδηματοποιω|υποδηματοποιων	9
ὑποδιδάσκαλος	υποδιδασκαλος	Teacher’s assistant	Education and Training	13990	υποδιδασκαλε|υποδιδασκαλοι|υποδιδασκαλοις|υποδιδασκαλον|υποδιδασκαλος|υποδιδασκαλου|υποδιδασκαλους|υποδιδασκαλω|υποδιδασκαλων	9
ὑποκριτής	υποκριτης	Actor	Drama and Entertainment	17120	υποκριτα|υποκριται|υποκριταις|υποκριτας|υποκριτη|υποκριτηα|υποκριτηη|υποκριτην|υποκριτηου|υποκριτης|υποκριτηω|υποκριτων	12
ὑφάντης	υφαντης	Weaver	Textiles	75110	υφαντα|υφανται|υφανταις|υφαντας|υφαντη|υφαντηα|υφαντηη|υφαντην|υφαντηου|υφαντης|υφαντηω|υφαντων	12
φαρμακοπώλης	φαρμακοπωλης	Druggist	Perfumes, Aromatics, and Nostrums	6710	φαρμακοπωλα|φαρμακοπωλαι|φαρμακοπωλαις|φαρμακοπωλας|φαρμακοπωλη|φαρμακοπωληα|φαρμακοπωληη|φαρμακοπωλην|φαρμακοπωληου|φαρμακοπωλης|φαρμακοπωληω|φαρμακοπωλων	12
φαρμακοτρίβης	φαρμακοτριβης	Drug (or colour) grinder	Perfumes, Aromatics, and Nostrums	6710	φαρμακοτριβα|φαρμακοτριβαι|φαρμακοτριβαις|φαρμακοτριβας|φαρμακοτριβη|φαρμακοτριβηα|φαρμακοτριβηη|φαρμακοτριβην|φαρμακοτριβηου|φαρμακοτριβης|φαρμακοτριβηω|φαρμακοτριβων	12
φιλόσοφος	φιλοσοφος	Philosopher/sophist	Education and Training	19190	φιλοσοφε|φιλοσοφοι|φιλοσοφοις|φιλοσοφον|φιλοσοφος|φιλοσοφου|φιλοσοφους|φιλοσοφω|φιλοσοφων	9
φορμόφορος	φορμοφορος	Porter/stevedore	Transport	98310	φορμοφορε|φορμοφοροι|φορμοφοροις|φορμοφορον|φορμοφορος|φορμοφορου|φορμοφορους|φορμοφορω|φορμοφορων	9
φόρταξ	φορταξ	Porter/stevedore	Transport	98310	φορταξ|φορταξα|φορταξας|φορταξες|φορταξι|φορταξος|φορταξσι|φορταξων	8
φορτηγός	φορτηγος	Maritime trader	Seafaring/Maritime	41110	φορτηγε|φορτηγοι|φορτηγοις|φορτηγον|φορτηγος|φορτηγου|φορτηγους|φορτηγω|φορτηγων	9
φρεώρυχος	φρεωρυχος	Well-digger	Construction	71120	φρεωρυχε|φρεωρυχοι|φρεωρυχοις|φρεωρυχον|φρεωρυχος|φρεωρυχου|φρεωρυχους|φρεωρυχω|φρεωρυχων	9
χαλκεύς	χαλκευς	Smith	Metalwork	72110	χαλκεα|χαλκεας|χαλκει|χαλκεις|χαλκευ|χαλκευς|χαλκευσι|χαλκεων|χαλκεως	9
χαλκοπώλης	χαλκοπωλης	Bronze dealer	Metalwork	45190	χαλκοπωλα|χαλκοπωλαι|χαλκοπωλαις|χαλκοπωλας|χαλκοπωλη|χαλκοπωληα|χαλκοπωληη|χαλκοπωλην|χαλκοπωληου|χαλκοπωλης|χαλκοπωληω|χαλκοπωλων	12
χαριτόπωλις	χαριτοπωλις	Charm seller	Miscellaneous Retail	45190	χαριτοπωλαι|χαριτοπωλαις|χαριτοπωλας|χαριτοπωλη|χαριτοπωλην|χαριτοπωλης|χαριτοπωλων	7
χιδροπώλης	χιδροπωλης	Seller of Wheaten Groats	Food Preparation and Retail	41110	χιδροπωλα|χιδροπωλαι|χιδροπωλαις|χιδροπωλας|χιδροπωλη|χιδροπωληα|χιδροπωληη|χιδροπωλην|χιδροπωληου|χιδροπωλης|χιδροπωληω|χιδροπωλων	12
χλαμυδουργός	χλαμυδουργος	Mantle maker	Textiles	79120	χλαμυδουργε|χλαμυδουργοι|χλαμυδουργοις|χλαμυδουργον|χλαμυδουργος|χλαμυδουργου|χλαμυδουργους|χλαμυδουργω|χλαμυδουργων	9
χλανιδοποιός	χλανιδοποιος	Cloak maker	Textiles	79120	χλανιδοποιε|χλανιδοποιοι|χλανιδοποιοις|χλανιδοποιον|χλανιδοποιος|χλανιδοποιου|χλανιδοποιους|χλανιδοποιω|χλανιδοποιων	9
χοιροπώλης	χοιροπωλης	Pig Dealer	Agriculture, Animal Husbandry	45190	χοιροπωλα|χοιροπωλαι|χοιροπωλαις|χοιροπωλας|χοιροπωλη|χοιροπωληα|χοιροπωληη|χοιροπωλην|χοιροπωληου|χοιροπωλης|χοιροπωληω|χοιροπωλων	12
χορδοπώλης	χορδοπωλης	Seller of instrument strings	Musical Instruments	45190	χορδοπωλα|χορδοπωλαι|χορδοπωλαις|χορδοπωλας|χορδοπωλη|χορδοπωληα|χορδοπωληη|χορδοπωλην|χορδοπωληου|χορδοπωλης|χορδοπωληω|χορδοπωλων	12
χρησμολόγος	χρησμολογος	oracle interpreter	Education and Training	14990	χρησμολογε|χρησμολογοι|χρησμολογοις|χρησμολογον|χρησμολογος|χρησμολογου|χρησμολογους|χρησμολογω|χρησμολογων	9
χρυσοπώλης	χρυσοπωλης	Gold merchant	Metalwork	45190	χρυσοπωλα|χρυσοπωλαι|χρυσοπωλαις|χρυσοπωλας|χρυσοπωλη|χρυσοπωληα|χρυσοπωληη|χρυσοπωλην|χρυσοπωληου|χρυσοπωλης|χρυσοπωληω|χρυσοπωλων	12
χρυσόχοος	χρυσοχοος	Goldsmith	Metalwork	72110	χρυσοχοε|χρυσοχοοι|χρυσοχοοις|χρυσοχοον|χρυσοχοος|χρυσοχοου|χρυσοχοους|χρυσοχοω|χρυσοχοων	9
χρυσώτής	χρυσωτης	Gilder	Metalwork	72110	χρυσωτα|χρυσωται|χρυσωταις|χρυσωτας|χρυσωτη|χρυσωτηα|χρυσωτηη|χρυσωτην|χρυσωτηου|χρυσωτης|χρυσωτηω|χρυσωτων	12
χυτροπώλης	χυτροπωλης	Pot seller	Ceramics	45190	χυτροπωλα|χυτροπωλαι|χυτροπωλαις|χυτροπωλας|χυτροπωλη|χυτροπωληα|χυτροπωληη|χυτροπωλην|χυτροπωληου|χυτροπωλης|χυτροπωληω|χυτροπωλων	12
ᾠόπωλις	ωοπωλις	Egg Seller	Food Preparation and Retail	45190	ωοπωλαι|ωοπωλαις|ωοπωλας|ωοπωλη|ωοπωλην|ωοπωλης|ωοπωλων	7
βαρβαρικάριος	βαρβαρικαριος	Gilder	Textiles	72110	βαρβαρικαριε|βαρβαρικαριοι|βαρβαρικαριοις|βαρβαρικαριον|βαρβαρικαριος|βαρβαρικαριου|βαρβαρικαριους|βαρβαρικαριω|βαρβαρικαριων	9
λιναριος	λιναριος	Linen worker	Textiles	75130	λιναριε|λιναριοι|λιναριοις|λιναριον|λιναριος|λιναριου|λιναριους|λιναριω|λιναριων	9
καλιγάριος	καλιγαριος	Cobbler	Leatherwork and Footwear	80110	καλιγαριε|καλιγαριοι|καλιγαριοις|καλιγαριον|καλιγαριος|καλιγαριου|καλιγαριους|καλιγαριω|καλιγαριων	9
μονητάριος	μονηταριος	Moneyer	Metalwork	72110	μονηταριε|μονηταριοι|μονηταριοις|μονηταριον|μονηταριος|μονηταριου|μονηταριους|μονηταριω|μονηταριων	9
μονιτάριος	μονιταριος	Moneyer	Metalwork	72110	μονιταριε|μονιταριοι|μονιταριοις|μονιταριον|μονιταριος|μονιταριου|μονιταριους|μονιταριω|μονιταριων	9
πλουμάριος	πλουμαριος	Feather worker	Textiles	79990	πλουμαριε|πλουμαριοι|πλουμαριοις|πλουμαριον|πλουμαριος|πλουμαριου|πλουμαριους|πλουμαριω|πλουμαριων	9
φαβρικέσιος	φαβρικεσιος	Imperial workshop worker	Armaments	72990	φαβρικεσιε|φαβρικεσιοι|φαβρικεσιοις|φαβρικεσιον|φαβρικεσιος|φαβρικεσιου|φαβρικεσιους|φαβρικεσιω|φαβρικεσιων	9
φαυρικίσιος	φαυρικισιος	Imperial workshop worker	Armaments	72990	φαυρικισιε|φαυρικισιοι|φαυρικισιοις|φαυρικισιον|φαυρικισιος|φαυρικισιου|φαυρικισιους|φαυρικισιω|φαυρικισιων	9
λεπτουργός	λεπτουργος	Joiner, wood worker	Construction	95110	λεπτουργε|λεπτουργοι|λεπτουργοις|λεπτουργον|λεπτουργος|λεπτουργου|λεπτουργους|λεπτουργω|λεπτουργων	9
διφθεράριος	διφθεραριος	Parchment-maker	Writing and the Book Trade	76990	διφθεραριε|διφθεραριοι|διφθεραριοις|διφθεραριον|διφθεραριος|διφθεραριου|διφθεραριους|διφθεραριω|διφθεραριων	9
ἀκονητής	ακονητης	Polisher, furbisher, grinder	Woodwork	73990	ακονητα|ακονηται|ακονηταις|ακονητας|ακονητη|ακονητηα|ακονητηη|ακονητην|ακονητηου|ακονητης|ακονητηω|ακονητων	12
ψηφοθέτης	ψηφοθετης	Mosaicer, maker of mosaic	Stonework	16190	ψηφοθετα|ψηφοθεται|ψηφοθεταις|ψηφοθετας|ψηφοθετη|ψηφοθετηα|ψηφοθετηη|ψηφοθετην|ψηφοθετηου|ψηφοθετης|ψηφοθετηω|ψηφοθετων	12
μουσιάριος	μουσιαριος	Mosaic worker	Stonework	16190	μουσιαριε|μουσιαριοι|μουσιαριοις|μουσιαριον|μουσιαριος|μουσιαριου|μουσιαριους|μουσιαριω|μουσιαριων	9
βρακάριος	βρακαριος	Maker of trousers	Textiles	79120	βρακαριε|βρακαριοι|βρακαριοις|βρακαριον|βρακαριος|βρακαριου|βρακαριους|βρακαριω|βρακαριων	9
καβάτωρ	καβατωρ	Engraver, maker of hollow spaces	Miscellaneous	88120	καβατωρ|καβατωρα|καβατωρας|καβατωρες|καβατωρι|καβατωρος|καβατωρσι|καβατωρων	8
καψάριος	καψαριος	Maker of small bags	Leatherwork and Footwear	80110	καψαριε|καψαριοι|καψαριοις|καψαριον|καψαριος|καψαριου|καψαριους|καψαριω|καψαριων	9
κοροράτωρ	κορορατωρ	Decorator	Textiles	16190	κορορατωρ|κορορατωρα|κορορατωρας|κορορατωρες|κορορατωρι|κορορατωρος|κορορατωρσι|κορορατωρων	8
λανάριος	λαναριος	Wool worker	Textiles	76990	λαναριε|λαναριοι|λαναριοις|λαναριον|λαναριος|λαναριου|λαναριους|λαναριω|λαναριων	9
μαρμοράριος	μαρμοραριος	Marble worker, stonemason	Stonework	82120	μαρμοραριε|μαρμοραριοι|μαρμοραριοις|μαρμοραριον|μαρμοραριος|μαρμοραριου|μαρμοραριους|μαρμοραριω|μαρμοραριων	9
σειρικάριος	σειρικαριος	Silk trader	Textiles	45190	σειρικαριε|σειρικαριοι|σειρικαριοις|σειρικαριον|σειρικαριος|σειρικαριου|σειρικαριους|σειρικαριω|σειρικαριων	9
φουλών	φουλων	Fuller	Textiles	75140	φουλον|φουλονα|φουλονας|φουλονες|φουλονι|φουλονος|φουλονων|φουλοσι|φουλων	9
πλακουντάριος	πλακουνταριος	Break maker	Food Preparation and Retail	53120	πλακουνταριε|πλακουνταριοι|πλακουνταριοις|πλακουνταριον|πλακουνταριος|πλακουνταριου|πλακουνταριους|πλακουνταριω|πλακουνταριων	9
σιλιγινάριος	σιλιγιναριος	Bread maker	Food Preparation and Retail	53120	σιλιγιναριε|σιλιγιναριοι|σιλιγιναριοις|σιλιγιναριον|σιλιγιναριος|σιλιγιναριου|σιλιγιναριους|σιλιγιναριω|σιλιγιναριων	9
αὐρικαίσωρ	αυρικαισωρ	Manufacturer of sheet gold	Jewellery	88120	αυρικαισωρ|αυρικαισωρα|αυρικαισωρας|αυρικαισωρες|αυρικαισωρι|αυρικαισωρος|αυρικαισωρσι|αυρικαισωρων	8
σκαφίδες	σκαφιδες	Uncertain, cup maker	Miscellaneous	89990	σκαφιδεα|σκαφιδεας|σκαφιδεες|σκαφιδει|σκαφιδεος|σκαφιδες|σκαφιδεσι|σκαφιδεων	8
κηροματίτης	κηροματιτης	Masseur, trainer	Miscellaneous	53990	κηροματιτα|κηροματιται|κηροματιταις|κηροματιτας|κηροματιτη|κηροματιτηα|κηροματιτηη|κηροματιτην|κηροματιτηου|κηροματιτης|κηροματιτηω|κηροματιτων	12
χωνευτής	χωνευτης	Metal-caster	Metalwork	72110	χωνευτα|χωνευται|χωνευταις|χωνευτας|χωνευτη|χωνευτηα|χωνευτηη|χωνευτην|χωνευτηου|χωνευτης|χωνευτηω|χωνευτων	12
κοπιάτης	κοπιατης	Grave-digger, sexton	Miscellaneous	54990	κοπιατα|κοπιαται|κοπιαταις|κοπιατας|κοπιατη|κοπιατηα|κοπιατηη|κοπιατην|κοπιατηου|κοπιατης|κοπιατηω|κοπιατων	12
γραμματεύς	γραμματευς	Scribe	Writing and the Book Trade	30120	γραμματεα|γραμματεας|γραμματει|γραμματεις|γραμματευ|γραμματευς|γραμματευσι|γραμματεων|γραμματεως	9
ἰατρός	ιατρος	Doctor	Miscellaneous	6110	ιατρε|ιατροι|ιατροις|ιατρον|ιατρος|ιατρου|ιατρους|ιατρω|ιατρων	9
ἱεροποιός	ιεροποιος	Sacrificer	Miscellaneous	14990	ιεροποιε|ιεροποιοι|ιεροποιοις|ιεροποιον|ιεροποιος|ιεροποιου|ιεροποιους|ιεροποιω|ιεροποιων	9
ἱερεύς 	ιερευς 	Priest, sacrificer	Miscellaneous	14990	ιερευς |ιερευς α|ιερευς ας|ιερευς ες|ιερευς ι|ιερευς ος|ιερευς σι|ιερευς ων	8
λιθοκοπικός	λιθοκοπικος	Stone-cutter	Stonework	82120	λιθοκοπικε|λιθοκοπικοι|λιθοκοπικοις|λιθοκοπικον|λιθοκοπικος|λιθοκοπικου|λιθοκοπικους|λιθοκοπικω|λιθοκοπικων	9
λιθαγωγός	λιθαγωγος	Stone haulier	Transport	98310	λιθαγωγε|λιθαγωγοι|λιθαγωγοις|λιθαγωγον|λιθαγωγος|λιθαγωγου|λιθαγωγους|λιθαγωγω|λιθαγωγων	9
χρυσότα	χρυσοτα	Gilder in gold	Metalwork	72110	χρυσοα|χρυσοαι|χρυσοαις|χρυσοαν|χρυσοας|χρυσοη|χρυσοην|χρυσοης|χρυσοων	9
ἐργαστηριάρχης	εργαστηριαρχης	Metal-worker	Metalwork	72110	εργαστηριαρχα|εργαστηριαρχαι|εργαστηριαρχαις|εργαστηριαρχας|εργαστηριαρχη|εργαστηριαρχηα|εργαστηριαρχηη|εργαστηριαρχην|εργαστηριαρχηου|εργαστηριαρχης|εργαστηριαρχηω|εργαστηριαρχων	12
διφθεροποιός 	διφθεροποιος 	Parchment-maker	Leatherwork and Footwear	76990	διφθεροποιος |διφθεροποιος α|διφθεροποιος ας|διφθεροποιος ες|διφθεροποιος ι|διφθεροποιος ος|διφθεροποιος σι|διφθεροποιος ων	8
kογχυλεύτης	kογχυλευτης	Purple-fish collector	Textiles	64120	kογχυλευτα|kογχυλευται|kογχυλευταις|kογχυλευτας|kογχυλευτη|kογχυλευτηα|kογχυλευτηη|kογχυλευτην|kογχυλευτηου|kογχυλευτης|kογχυλευτηω|kογχυλευτων	12
διφθεράριος 	διφθεραριος 	Parchment-maker	Leatherwork and Footwear	76990	διφθεραριος |διφθεραριος α|διφθεραριος ας|διφθεραριος ες|διφθεραριος ι|διφθεραριος ος|διφθεραριος σι|διφθεραριος ων	8
