nominative_original	nominative_stripped	translation	category	hisco_code	all_forms	form_count
λυροποιός	λυροποιος	Lyre maker	Musical Instruments	81990	λυροποιε|λυροποιοι|λυροποιοις|λυροποιον|λυροποιος|λυροποιου|λυροποιους|λυροποιω|λυροποιων	9
λυχνοποιός	λυχνοποιος	Lamp maker	Ceramics	89120	λυχνοποιε|λυχνοποιοι|λυχνοποιοις|λυχνοποιον|λυχνοποιος|λυχνοποιου|λυχνοποιους|λυχνοποιω|λυχνοποιων	9
λυχνοπώλης	λυχνοπωλης	Lamp seller	Ceramics	45190	λυχνοπωλα|λυχνοπωλαι|λυχνοπωλαις|λυχνοπωλας|λυχνοπωλη|λυχνοπωληα|λυχνοπωληη|λυχνοπωλην|λυχνοπωληου|λυχνοπωλης|λυχνοπωληω|λυχνοπωλων	12
μανθάνων	μανθανων	Student	Literature and Scholarship	13990	μανθανον|μανθανονα|μανθανονας|μανθανονες|μανθανονι|μανθανονος|μανθανονων|μανθανοσι|μανθανων	9
μάντις	μαντις	Seer	Education and Training	14990	μανται|μανταις|μαντας|μαντη|μαντην|μαντης|μαντων	7
μαχαιροποιός	μαχαιροποιος	Knife maker	Tools	83120	μαχαιροποιε|μαχαιροποιοι|μαχαιροποιοις|μαχαιροποιον|μαχαιροποιος|μαχαιροποιου|μαχαιροποιους|μαχαιροποιω|μαχαιροποιων	9
μαχαιροπώλης	μαχαιροπωλης	Knife seller	Tools	45190	μαχαιροπωλα|μαχαιροπωλαι|μαχαιροπωλαις|μαχαιροπωλας|μαχαιροπωλη|μαχαιροπωληα|μαχαιροπωληη|μαχαιροπωλην|μαχαιροπωληου|μαχαιροπωλης|μαχαιροπωληω|μαχαιροπωλων	12
μελιτοπώλης	μελιτοπωλης	Honey Seller	Food Preparation and Retail	45190	μελιτοπωλα|μελιτοπωλαι|μελιτοπωλαις|μελιτοπωλας|μελιτοπωλη|μελιτοπωληα|μελιτοπωληη|μελιτοπωλην|μελιτοπωληου|μελιτοπωλης|μελιτοπωληω|μελιτοπωλων	12
μελιττουργός	μελιττουργος	Beekeeper	Agriculture, Animal Husbandry	62210	μελιττουργε|μελιττουργοι|μελιττουργοις|μελιττουργον|μελιττουργος|μελιττουργου|μελιττουργους|μελιττουργω|μελιττουργων	9
μεμβραδοπώλης	μεμβραδοπωλης	Sardine Seller	Food Preparation and Retail	45190	μεμβραδοπωλα|μεμβραδοπωλαι|μεμβραδοπωλαις|μεμβραδοπωλας|μεμβραδοπωλη|μεμβραδοπωληα|μεμβραδοπωληη|μεμβραδοπωλην|μεμβραδοπωληου|μεμβραδοπωλης|μεμβραδοπωληω|μεμβραδοπωλων	12
μεταλλεύς	μεταλλευς	Miner	Fuel and Raw Materials	71120	μεταλλεα|μεταλλεας|μεταλλει|μεταλλεις|μεταλλευ|μεταλλευς|μεταλλευσι|μεταλλεων|μεταλλεως	9
μεταλλευτής	μεταλλευτης	Miner	Fuel and Raw Materials	71120	μεταλλευτα|μεταλλευται|μεταλλευταις|μεταλλευτας|μεταλλευτη|μεταλλευτηα|μεταλλευτηη|μεταλλευτην|μεταλλευτηου|μεταλλευτης|μεταλλευτηω|μεταλλευτων	12
μολυβδοκόπος	μολυβδοκοπος	Lead cutter	Metalwork	72110	μολυβδοκοπε|μολυβδοκοποι|μολυβδοκοποις|μολυβδοκοπον|μολυβδοκοπος|μολυβδοκοπου|μολυβδοκοπους|μολυβδοκοπω|μολυβδοκοπων	9
μουσικός	μουσικος	Musician	Drama and Entertainment	17320	μουσικε|μουσικοι|μουσικοις|μουσικον|μουσικος|μουσικου|μουσικους|μουσικω|μουσικων	9
μυλοκόπος	μυλοκοπος	Millstone cutter	Stonework	82120	μυλοκοπε|μυλοκοποι|μυλοκοποις|μυλοκοπον|μυλοκοπος|μυλοκοπου|μυλοκοπους|μυλοκοπω|μυλοκοπων	9
μυλωθρός	μυλωθρος	Miller	Food Preparation and Retail	54120	μυλωθρε|μυλωθροι|μυλωθροις|μυλωθρον|μυλωθρος|μυλωθρου|μυλωθρους|μυλωθρω|μυλωθρων	9
μυρεψός	μυρεψος	Perfume boiler	Perfumes, Aromatics, and Nostrums	6390	μυρεψε|μυρεψοι|μυρεψοις|μυρεψον|μυρεψος|μυρεψου|μυρεψους|μυρεψω|μυρεψων	9
μυροπώλης	μυροπωλης	Perfume seller	Perfumes, Aromatics, and Nostrums	45190	μυροπωλα|μυροπωλαι|μυροπωλαις|μυροπωλας|μυροπωλη|μυροπωληα|μυροπωληη|μυροπωλην|μυροπωληου|μυροπωλης|μυροπωληω|μυροπωλων	12
μυρόπωλις	μυροπωλις	Perfume seller	Perfumes, Aromatics, and Nostrums	45190	μυροπωλαι|μυροπωλαις|μυροπωλας|μυροπωλη|μυροπωλην|μυροπωλης|μυροπωλων	7
μυστριοπώλης	μυστριοπωλης	Spoon seller	Miscellaneous Retail	45190	μυστριοπωλα|μυστριοπωλαι|μυστριοπωλαις|μυστριοπωλας|μυστριοπωλη|μυστριοπωληα|μυστριοπωληη|μυστριοπωλην|μυστριοπωληου|μυστριοπωλης|μυστριοπωληω|μυστριοπωλων	12
ναύκληρος	ναυκληρος	Shipmaster	Seafaring/Maritime	98110	ναυκληρε|ναυκληροι|ναυκληροις|ναυκληρον|ναυκληρος|ναυκληρου|ναυκληρους|ναυκληρω|ναυκληρων	9
