Term,gen_sg,Term2,Vocab_nom_sg,gender,Source,HISCO_codes,Harris_Category,Subcategory,Translation_eng
pantomimus,i,,pantomimus,male,Waltzing - provinces,17230,Performing Arts,,a ballet-dancer
parabolanus,i,,parabolanus,male,Waltzing - provinces,6320,Miscellaneous Services,,a sick-nurse
paracharactes,ae,,,male,Petrikovits 1981a,95410,Finance,,"counterfeiter, forger"
parasitus,i,,parasitus,male,Waltzing - provinces,17320,Performing Arts,,"a player, actor"
parietarius,i,,,male,Petrikovits 1981a,16130,Plastic Arts,,a painter
parmaluraius,i,,,male,Petrikovits 1981a,83110,Miscellaneous Services,Military,small shield maker
pastilarius,i,,pastilarius,male,Waltzing - Rome,53130,Food-Production,Food processing,a maker of pastils
pastillarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,a maker of pastils
patagiarius,i,,,male,Petrikovits 1981a,79690,Clothing,,a boler-maker (a gold edging or border on a Roman lady's tunic)
pausarius,i,,pausarius,male,Waltzing - Rome,33140,Finance,,"A money-changer, banker"
pavimentarius,i,,pavimentarius,male,Waltzing - Rome,95410,Building,Stone worker,a maker of pavements
pectenarius,i,,,male,Petrikovits 1981a,81190,Household Goods,,a combmaker
pectinarius,i,,,male,Petrikovits 1981a,81190,Household Goods,,a combmaker
pectinator,oris,,,male,Petrikovits 1981a,81190,Household Goods,,a combmaker
pecuarius,i,,pecuarius,male,Waltzing - Rome,61240,Food-Production,Food production,"sheep, cattle breader"
pellarius,i,,,male,Petrikovits 1981a,79220,Clothing,,"one that prepares skins, a furrier"
pellicarius,i,,,male,EDH/EDCS,45130,Retail,,mantle maker
pellio,onis,,,male,Petrikovits 1981a,79220,Clothing,,"one that prepares skins, a furrier"
pellionarius,i,,pellionarius,male,Waltzing - Rome,79220,Clothing,,one who prepared skins for the use of soldiers
peponarius,i,,peponarius,male,Waltzing - Rome,45130,Food-Retail,,melon seller
pequarius,i,,pequarius,male,Waltzing - Rome,61240,Food-Production,Food production,"sheep, cattle breader"
perfector,oris,,,male,Petrikovits 1981a,,Unclassified,,unclear
pernarius,i,,,male,Petrikovits 1981a,45130,Food-Retail,,a ham-seller
perpendiculator,oris,,,male,Petrikovits 1981a,95410,Building,,"an artisan who uses a plumb-line, a stonemason"
personarius,i,,,male,Petrikovits 1981b,88090,Miscellaneous Services,,mask maker
pharmacopola,ae,,pharmacopola,male,Waltzing - provinces,45130,Retail,,"a drugseller, quack"
phrygio,onis,,,male,Petrikovits 1981a,88090,Metal-Working,,goldsticker
picarius,i,,,male,Petrikovits 1981a,74490,Fuel / Raw material,,pitch (resin) boiler
pictor,oris,,,male,Petrikovits 1981a,16130,Plastic Arts,,painter
pigmentarius,i,,pigmentarius,male,Waltzing - Rome,45130,Retail,,dye seller
pincerna,ae,,,male,Petrikovits 1981a,53240,Miscellaneous Services,,cupbearer
pinctor,oris,,,male,Petrikovits 1981a,16130,Plastic Arts,,painter
piscator,oris,,piscator,male,Waltzing - Rome,64130,Food-Production,Food production,"a fisherman, fisher"
piscicapus,i,,piscicapus,male,Waltzing - provinces,64130,Food-Production,Food production,a fish-catcher
pisticarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,baker
pistor,oris,,pistor,male,Waltzing - Rome,77120,Food-Production,Food production,"one who pounds corn in a mortar or grinds it in a hand-mill, a miller, a baker"
pistrinarius,i,,,male,Petrikovits 1981b,77120,Food-Production,Food production,"the manager of a pounding-mill, a miller"
pistrix,icis,,,female,Petrikovits 1981a,53130,Food-Production,Food production,female baker
pistur,uris,,,male,Petrikovits 1981a,77120,Food-Production,Food production,"one who pounds corn in a mortar or grinds it in a hand-mill, a miller, a baker"
placentarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,a pastry-cook
plasta,ae,,,male,Petrikovits 1981a,89210,Plastic Arts,,"a moulder, potter, modeller, statuary"
plastes,ae,,,male,Petrikovits 1981a,89210,Plastic Arts,,"a moulder, potter, modeller, statuary"
plasticator,oris,,,male,Petrikovits 1981a,89210,Plastic Arts,,"a moulder, potter, modeller, statuary"
plasticus,i,,,male,Petrikovits 1981a,89210,Plastic Arts,,"a moulder, potter, modeller, statuary"
plaustrarius,i,,,male,Petrikovits 1981a,95410,Transport,Land transport,"a vehicle for freight, wagon, wain, cart maker"
plicatrix,icis,,,female,Petrikovits 1981a,79140,Clothing,,"female dress maker, tailor"
plombarius,i,,,male,Petrikovits 1981a,87460,Metal-Working,,"a plumber, lead worker"
plostrarius,i,,,male,Petrikovits 1981a,99910,Transport,Land transport,"a vehicle for freight, wagon, wain, cart maker"
plumarius,i,,plumarius,male,Waltzing - Rome,79690,Household Goods,,an embroiderer
plumbarius,i,,,male,Petrikovits 1981a,87460,Metal-Working,,"a plumber, lead worker"
plutearius,i,,,male,Petrikovits 1981a,95140,Building,,a maker of balustrades
plutiarius,i,,,male,Petrikovits 1981a,95140,Building,,a maker of balustrades
poeta,ae,,poeta,male,Waltzing - Rome,15110,Performing Arts,,a poet
polio,onis,,,male,Petrikovits 1981a,83590,Miscellaneous Services,,"a cultivator, improver, a polisher"
politor,oris,,,male,Petrikovits 1981a,83590,Miscellaneous Services,,"a cultivator, improver, a polisher"
pollictor,oris,,,male,Petrikovits 1981a,59290,Death-care sector,,corpse washer and preparer
pollinctor,oris,,,male,Petrikovits 1981a,59290,Death-care sector,,corpse washer and preparer
pollio,onis,,,male,Petrikovits 1981a,83590,Miscellaneous Services,,"a cultivator, improver, a polisher"
polymitarius,i,,,male,Petrikovits 1981a,75445,Clothing,,a damask-weaver
pomarius,i,,pomarius,male,Waltzing - provinces,45130,Food-Retail,,"of fruit, of fruittrees seller"
popinarius,i,,,male,Petrikovits 1981a,51090,Food-Retail,,"a cook-shop, eatinghouse, low tavern owner"
popinator,oris,,,male,Petrikovits 1981a,51090,Food-Retail,,"a cook-shop, eatinghouse, low tavern owner"
porcinarius,i,,porcinarius,male,Waltzing - Rome,62440,Food-Production,Food production,pig breader
possessor,oris,,possessor,male,Waltzing - provinces,21110,Managerial,,"a possessor, owner"
professor,oris,,professor,male,Waltzing - provinces,13190,Education,,a public teacher
promus,i,,,male,Petrikovits 1981a,22440,Miscellaneous Services,,"a cellarer, steward, butler"
propola,ae,,propola,male,Waltzing - provinces,45130,Retail,,"a forestaller, retailer, huckster"
prosmonus,i,,,male,Petrikovits 1981a,,Unclassified,,unclear
prossaria,ae,,,male,Petrikovits 1981a,75440,Clothing,,woolen fabrics maker
psaltes,ae,,psaltes,male,Waltzing - Rome,17140,Performing Arts,,cithara player
psecas,adis,,,female,Petrikovits 1981a,57090,Miscellaneous Services,,a female slave who perfumed her mistress's hair
pugillariarius,i,,,male,Petrikovits 1981a,98620,Miscellaneous Services,,maker of small writing boards
purpurarius,i,,,male,Petrikovits 1981a,75625,Clothing,Colour production,purple colour dyer
putearius,i,,,male,Petrikovits 1981a,98190,Building,,a well-digger
quadratarius,i,,,male,Petrikovits 1981a,98620,Building,Stone worker,stonemason
quadratatorius,i,,,male,Petrikovits 1981a,97145,Building,Stone worker,stonemason
quadrigularius,i,,,male,Petrikovits 1981a,16130,Plastic Arts,,a painter
quasillaria,ae,,,female,Petrikovits 1981a,75220,Clothing,,"a basketwench, spinning-girl"
raedarius,i,,,male,Petrikovits 1981a,97145,Transport,Land transport,"a coachman, driver of a raeda"
ratiarius,i,,ratiarius,male,Waltzing - provinces,97145,Transport,Maritime/water transport,"a raftsman, lighterman"
redemptor,oris,,,male,Petrikovits 1981a,53130,Food-Production,Food production,"a miller, bread-maker, baker"
refector pectinarius,oris,,refector,male,Petrikovits 1981a,81190,Household Goods,,"a restorer, repairer of combs"
resinaria,ae,,,female,Petrikovits 1981a,74490,Fuel / Raw material,,female resin maker
restiarius,i,,,male,Petrikovits 1981a,45130,Retail,,"A ropemaker, rope-seller"
resticularius,i,,,male,Petrikovits 1981a,45130,Retail,,"A ropemaker, rope-seller"
restio,onis,,restio,male,Waltzing - Rome,45130,Retail,,"A ropemaker, rope-seller"
retiarius,i,,retiarius,male,Waltzing - provinces,18020,Performing Arts,,"a gladiator who used a net to entangle his adversary, net-fighter"
retifex,icis,,,male,Petrikovits 1981a,79690,Miscellaneous Services,,a netmaker
rhedarius,i,,,male,Petrikovits 1981a,17990,Transport,Land transport,"a coachman, driver of a raeda"
rhypararographus,i,,,male,Petrikovits 1981a,16130,Plastic Arts,,a painter
rosarius,i,,rosarius,male,Waltzing - Rome,45130,Retail,,seller of roses
saburrarius,i,,saburrarius,male,Waltzing - Rome,95410,Transport,Maritime/water transport,one who carries ballast to ships
sacarius,i,,,male,Petrikovits 1981a,17990,Transport,Land transport,"one who carries sacks, sack maker"
saccarius,i,,saccarius,male,Waltzing - Rome,95410,Transport,Land transport,"one who carries sacks, sack maker"
sacomarius,i,,,male,Petrikovits 1981a,83990,Miscellaneous Services,,one who makes counterpoises or weights 
sagarius,i,,sagarius,male,Waltzing - Rome,45130,Retail,,a dealer in mantles
sagittarius,i,,,male,Petrikovits 1981a,83110,Metal-Working,,"arrow-makers, arrow-smiths"
sagmarius,i,,,male,Petrikovits 1981a,80190,Transport,Land transport,manufacturer of pack animal saddles
salarius,i,,salarius,male,Waltzing - Rome,45130,Retail,,"salt maker, dealer"
salgamarius,i,,,male,Petrikovits 1981a,45130,Food-Production,Food production,one who makes or sells pickles
salinator,oris,,salinator,male,Waltzing - provinces,45130,Food-Retail,,a dealer in salt
salsamentarius,i,,,male,Petrikovits 1981a,45130,Food-Retail,,a dealer in salted fish
salsarius,i,,,male,EDH/EDCS,77190,Food-Production,Food processing,"salt-worker, uncertain"
samiarius,i,,,male,Petrikovits 1981a,83590,Miscellaneous Services,,"a polisher, grinder"
samiator,oris,,,male,Petrikovits 1981a,83590,Miscellaneous Services,,"a polisher, furbisher"
sandaliarius,i,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,"sandal, shoe maker"
sandapilarius,i,,,male,Petrikovits 1981a,59290,Death-care sector,,"one that carries a sandapila, a corpse-bearer"
saponarius,i,,saponarius,male,Waltzing - provinces,74190,Household Goods,,soap producer
sarcinator,oris,,,male,Petrikovits 1981a,79190,Clothing,,"a patcher, botcher, mender of old garments"
sarcinatrix,icis,,,female,Petrikovits 1981b,79190,Clothing,,"female patcher, botcher, mender of old garments"
sarcitor,oris,,,male,Petrikovits 1981a,79190,Clothing,,"a patcher, botcher, mender of old garments"
sarsor,oris,,,male,Petrikovits 1981a,62210,Miscellaneous Services,,"A hoer, weeder, cultivator"
sartcitrix,icis,,,female,Petrikovits 1981b,79190,Clothing,,"female patcher, botcher, mender of old garments"
sartor,oris,,,male,Petrikovits 1981a,62210,Miscellaneous Services,,"A hoer, weeder, cultivator"
sartrix,icis,,,female,Petrikovits 1981b,62210,Miscellaneous Services,,"Female hoer, weeder, cultivator"
sartur,uris,,,male,Petrikovits 1981a,62210,Miscellaneous Services,,"A hoer, weeder, cultivator"
scabillarius,i,,scabillarius,male,Waltzing - Rome,94990,Miscellaneous Services,,"player of a footstool, cricket"
scaenarius,i,,,male,Petrikovits 1981a,16130,Plastic Arts,,a painter
scaenaticus,i,,scaenaticus,male,Waltzing - Rome,17320,Performing Arts,,a stageplayer
scaenicus,i,,scaenicus,male,Waltzing - Rome,17320,Performing Arts,,"of the stage, scenic, dramatic, theatrical"
scalarius,i,,,male,Petrikovits 1981a,95140,Building,,"step maker, ladder maker"
scalptor,oris,,,male,Petrikovits 1981a,16120,Plastic Arts,,"a cutter, graver in metal or stone"
scamillarius,i,,scamillarius,male,Waltzing - provinces,95410,Miscellaneous Services,,"player of a footstool, cricket"
scandularius,i,,,male,Petrikovits 1981a,95410,Building,,shingle maker
scapharius,i,,scapharius,male,Waltzing - Rome,98130,Transport,Maritime/water transport,owner of a small boat
scaurarius,i,,,male,Petrikovits 1981a,72890,Metal-Working,,slag worker
scholasticus,i,,scholasticus,male,Waltzing - provinces,13190,Education,,"who teaches or studies rhetoric, a lecturer in the schools, a rhetorician"
scissor,oris,,,male,Petrikovits 1981a,82010,Building,,"a carver, kind of gladiator"
scordiscarius,i,,,male,Petrikovits 1981a,80190,Transport,Land transport,saddler
scriba,ae,,scriba,male,Waltzing - Rome,39310,Education,,"a public writer, official scribe, professional writer, clerk, secretary"
scriblitarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,a tart-baker
scriptor,oris,,scriptor,male,Petrikovits 1981a,39310,Managerial,,"one who writes, a writer, scribe, copyist, clerk"
sculptor,oris,,,male,Petrikovits 1981a,16120,Plastic Arts,,"one who cuts, carves, or engraves in stone, wood"
scultor,oris,,,male,Petrikovits 1981a,16120,Plastic Arts,,"one who cuts, carves, or engraves in stone, wood"
scutarius,i,,,male,Petrikovits 1981a,83110,Miscellaneous Services,,shield maker
scutularius,i,,,male,Petrikovits 1981a,81120,Household Goods,,table maker with diamond shaped decor
sector,oris,,sector,male,Waltzing - Rome,82010,Building,,"one who cuts, a cutter"
securicularius,i,,,male,Petrikovits 1981a,83110,Metal-Working,,a little axe maker and seller
segmentarius,i,,,male,Petrikovits 1981a,88090,Metal-Working,,trimmer with gold or seller
sellularius,i,,,male,Petrikovits 1981a,81120,Household Goods,,"lounger, chair maker"
seplasiarius,i,,,male,Petrikovits 1981a,95410,Miscellaneous Services,,anoitment maker and seller
sericarius,i,,,male,Petrikovits 1981a,75440,Clothing,,silk producer and dealer
serrarius,i,,serrarius,male,Waltzing - provinces,82010,Building,Stone worker,stone-sawyer
sessoriarius,i,,,male,Petrikovits 1981a,81120,Household Goods,,armchair maker
sigillariarius,i,,,male,Petrikovits 1981a,89210,Household Goods,,a potter
sigillarius,i,,,male,Petrikovits 1981a,89210,Household Goods,,a potter
sigillator,oris,,,male,Petrikovits 1981a,89210,Household Goods,,a potter
signarius,i,,,male,Petrikovits 1981a,16120,Plastic Arts,,a sculptor
signator,oris,,,male,Petrikovits 1981a,83960,Finance,,"one who stamps money, a coiner"
silicarius,i,,,male,Petrikovits 1981a,95410,Building,Stone worker,one that paves roads with pebble-stones
siliginarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,wheat bread baker
silvicaedus,i,,,male,Petrikovits 1981a,63110,Building,Wood worker,lumberjack
similaginarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,wheat bread baker
simpulariarius,i,,,male,Petrikovits 1981a,88090,Household Goods,,"a maker of simpula, ladle maker"
sindiniacus,i,,,male,Petrikovits 1981a,75440,Clothing,,"cotton stuff, muslin maker"
sindoniacus,i,,sindoniacus,male,Waltzing - provinces,75440,Clothing,,"cotton stuff, muslin maker"
sintoniacus,i,,,male,Petrikovits 1981a,75440,Clothing,,"cotton stuff, muslin maker"
siricaria,ae,,,male,Petrikovits 1981a,75440,Clothing,,silk producer and dealer
siricarius,i,,,male,Petrikovits 1981a,75440,Clothing,,silk producer and dealer
solatarius,i,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,shoe maker
solearius,i,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,shoe maker
soliarius,i,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,shoe maker
sonarius,i,,,male,Petrikovits 1981a,79690,Clothing,,belt maker
spadicarius,i,,,male,Petrikovits 1981a,75625,Clothing,Colour production,dyer with brown colour
spatharius,i,,,male,Petrikovits 1981a,83110,Metal-Working,,"a broad sword with a double edge, sabre maker"
speclariarius,i,,,male,Petrikovits 1981a,89190,Glass-Working,,"a mirror-maker, window glass maker"
speclarius,i,,,male,Petrikovits 1981a,89190,Glass-Working,,"a mirror-maker, window glass maker"
speculariarius,i,,,male,Petrikovits 1981a,89190,Glass-Working,,"a mirror-maker, window glass maker"
specularius,i,,specularius,male,Waltzing - Rome,89190,Glass-Working,,"a mirror-maker, window glass maker"
sructor,oris,,,male,Petrikovits 1981a,95920,Building,Wood worker,"a builder, mason, carpenter"
stagnarius,i,,,male,Petrikovits 1981a,83110,Metal-Working,,"solder, metal worker"
stagnator,oris,,,male,Petrikovits 1981a,72490,Metal-Working,,tin caster
stannator,oris,,,male,Petrikovits 1981a,72490,Metal-Working,,tin caster
statuarius,i,,,male,Petrikovits 1981a,16120,Plastic Arts,,"a maker of statues, a statuary "
strophiarius,i,,,male,Petrikovits 1981a,16120,Plastic Arts,,bust maker
structor,oris,,structor,male,Waltzing - Rome,21240,Building,Wood worker,"a builder, mason, carpenter"
stuppator,oris,,,male,Petrikovits 1981a,81120,Building,Wood worker,"caulker, joiner"
stuppatorius,i,,stuppatorius,male,Waltzing - Rome,45130,Food-Retail,,"seller of coarse flax, tow, oakum"
suarius,i,,suarius,male,Waltzing - Rome,62440,Food-Production,Food production,pig breader
subactarius,i,,,male,Petrikovits 1981a,76145,Clothing,,tanner
subaedanus,i,,,male,Petrikovits 1981b,54090,Miscellaneous Services,,worker inside the house
subaedianus,i,,subaedianus,male,Waltzing - Rome,95510,Building,Wood worker,carpenter ?
subaedius,i,,,male,Petrikovits 1981a,54090,Miscellaneous Services,,worker inside the house
subedius,i,,,male,Petrikovits 1981a,54090,Miscellaneous Services,,worker inside the house
subidianus,i,,subidianus,male,Waltzing - provinces,95120,Building,Wood worker,carpenter ?
subonatris,is,,,female,Petrikovits 1981a,57090,Miscellaneous Services,,female cosmetic assistant
subrutor,oris,,subrutor,male,Waltzing - Rome,95155,Building,,demolisher
suffossor,oris,,,male,Petrikovits 1981a,7115,Fuel / Raw material,,miner
suppostor,oris,,,male,Petrikovits 1981a,83960,Finance,,coin maker
susceptor,oris,,susceptor,male,Waltzing - Rome,95155,Miscellaneous Services,,"one who undertakes any thing, contractor"
sutor,oris,,sutor,male,Waltzing - Rome,80110,Clothing,Shoe maker,"a shoemaker, cobbler"
sutriballus,i,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,"a shoemaker, cobbler"
symphonicus,i,,symphonicus,male,Waltzing - Rome,17140,Performing Arts,,"of concerts, of music, musicmaker"
tabernaclarius,i,,,male,Petrikovits 1981a,79690,Miscellaneous Services,,tent maker
tabernacularius,i,,,male,Petrikovits 1981a,79690,Miscellaneous Services,,tent maker
tabernarius,i,,tabernarius,male,Waltzing - Rome,45130,Retail,,"shopkeepers, small dealers"
tector,oris,,tector,male,Waltzing - provinces,95155,Building,,"one that overlays walls with plaster, stucco, etc., a plasterer, pargeter"
tegetarius,i,,,male,Petrikovits 1981a,79690,Household Goods,,a mat-maker
tegularius,i,,,male,Petrikovits 1981a,95120,Building,,"a tile, roof-tile maker"
tellionarius,i,,tellionarius,male,Waltzing - Rome,79220,Clothing,,one who prepared skins for the use of soldiers
tentorarius,i,,,male,Petrikovits 1981a,79690,Miscellaneous Services,,tent maker
tentorius,i,,,male,Petrikovits 1981a,79690,Miscellaneous Services,,tent maker
tessalarius,i,,,male,Petrikovits 1981a,95445,Plastic Arts,,"mosaicer, maker of mosaic"
tesselator,oris,,,male,Petrikovits 1981a,95410,Plastic Arts,,"mosaicer, maker of mosaic"
tessellarius,i,,,male,Petrikovits 1981a,95410,Plastic Arts,,"mosaicer, maker of mosaic"
tesserarius lignarius,i,,tesserarius,male,Petrikovits 1981a,81210,Building,,"unclear, cutter of small wooden pieces"
testarius,i,,,male,Petrikovits 1981a,95410,Building,,"tile, brick maker"
textor,oris,,,male,Petrikovits 1981a,75440,Clothing,,weaver
textricula,ae,,,female,Petrikovits 1981a,75440,Clothing,,a little (female) weaver
textrix,icis,,,female,Petrikovits 1981a,75440,Clothing,,female weaver
tibiarius,i,,,male,Petrikovits 1981a,95410,Transport,Maritime/water transport,"fleet manufacturer, ship maker"
tibicinus,i,,tibicinus,male,Waltzing - Rome,17140,Performing Arts,,flute player
ticnarius,i,,,male,Petrikovits 1981a,81210,Building,Wood worker,carpenter
tignarius,i,,tignarius,male,Waltzing - provinces,95910,Building,Wood worker,carpenter
tignor,oris,,,male,Petrikovits 1981a,97145,Building,Wood worker,carpenter
tignoserrarius,i,,,male,Petrikovits 1981a,81210,Building,Wood worker,board/wood cutter
tignuarius,i,,,male,Petrikovits 1981a,98620,Building,Wood worker,carpenter
tinctor,oris,,tinctor,male,Waltzing - Rome,75625,Clothing,Colour production,a dyer
tomacularius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,"a sausage, liver-sausage maker, butcher"
tonsillaria,ae,,,female,Petrikovits 1981a,57020,Miscellaneous Services,,female hairdresser
tonsor,oris,,tonsor,male,Waltzing - Rome,57030,Miscellaneous Services,,"a shearer, clipper, shaver, hair-cutter, barber"
tonstricula,ae,,,female,Petrikovits 1981a,57020,Miscellaneous Services,,female hairdresser
tonstrix,icis,,,female,Petrikovits 1981a,57020,Miscellaneous Services,,female hairdresser and shearers
topiarius,i,,,male,Petrikovits 1981a,62740,Miscellaneous Services,,"gardener, landscaper"
torcularius,i,,,male,Petrikovits 1981a,83590,Miscellaneous Services,,"a presser, pressman"
toreuta,ae,,,male,Petrikovits 1981a,88050,Plastic Arts,,"one who makes embossed work, a chaser, graver"
toreutes,ae,,,male,Petrikovits 1981a,88050,Plastic Arts,,"one who makes embossed work, a chaser, graver"
toreuticesis,esis,,,male,Petrikovits 1981a,83110,Metal-Working,,unspecified metal worker
tornator,oris,,,male,Petrikovits 1981a,98620,Miscellaneous Services,,a turner
tosillaria,ae,,,female,Petrikovits 1981a,57020,Miscellaneous Services,,female hairdresser
tosor,oris,,,male,Petrikovits 1981a,57030,Miscellaneous Services,,hairdresser and shearers
tostrix,icis,,,female,Petrikovits 1981a,57020,Miscellaneous Services,,female hairdresser and shearers
tractator,oris,,,male,Petrikovits 1981a,57220,Miscellaneous Services,,"A slave among the Romans, who manipulated and suppled his master's limbs while anointing them; a shampooer"
transvectuarius,i,,transvectuarius,male,Waltzing - provinces,98130,Transport,Maritime/water transport,ship owner
trapezita,ae,,trapezita,male,Waltzing - provinces,33150,Finance,,a money-changer
tribor argentarius,oris,,tribor,male,Petrikovits 1981a,83590,Metal-Working,,silver polisher
trigalianus,i,,,male,Petrikovits 1981a,,Unclassified,,unclear
triliciarius,i,,,male,Petrikovits 1981a,75440,Clothing,,maker of three-thread fabric
tubarius,i,,,male,Petrikovits 1981a,83990,Miscellaneous Services,Military,"a trumpet, war-trumpet maker and distributor"
tubularius,i,,,male,Petrikovits 1981a,87460,Water-Management,,pipe maker
tudiator,oris,,,male,Petrikovits 1981a,7115,Metal-Working,,"miner, ore extractor"
tussor,oris,,,male,Petrikovits 1981a,57030,Miscellaneous Services,,hairdresser and shearers
uctor,oris,,,male,Petrikovits 1981a,57090,Miscellaneous Services,,an anointer
unctor,oris,,unctor,male,Waltzing - Rome,57090,Miscellaneous Services,,an anointer
unctrix,icis,,,female,Petrikovits 1981a,57090,Miscellaneous Services,,female perfume or ointment maker
ungnetarius,i,,,male,Petrikovits 1981a,57090,Miscellaneous Services,,perfume or ointment maker
unguentarius,i,,,male,Petrikovits 1981a,57090,Miscellaneous Services,,perfume or ointment maker
urinator,oris,,urinator,male,Waltzing - Rome,64130,Food-Production,Food production,a fisherman
ursarus,i,,ursarus,male,Waltzing - provinces,64960,Miscellaneous Services,,hunter of wild bears
ustor,oris,,,male,Petrikovits 1981a,59220,Death-care sector,,mortician
utriclarius,i,,utriclarius,male,Waltzing - provinces,98130,Transport,Maritime/water transport,"a bagpiper, The master of a raft floated on bladders, used for ferriage"
utricularius,i,,utricularius,male,Waltzing - provinces,98130,Transport,Maritime/water transport,"a bagpiper, The master of a raft floated on bladders, used for ferriage"
valvarius,i,,,male,Petrikovits 1981a,81120,Building,Wood worker,double-door maker
varietarius,i,,,male,Petrikovits 1981a,95920,Building,,builder
vasarius,i,,,male,Petrikovits 1981a,83110,Metal-Working,,barrel smith
vasclarius,i,,,male,Petrikovits 1981a,88050,Metal-Working,,"a worker in metals, whitesmith, goldsmith"
vascularius,i,,vascularius,male,Waltzing - Rome,88050,Metal-Working,,"a worker in metals, whitesmith, goldsmith"
vector,oris,,vector,male,Waltzing - Rome,97145,Transport,Land transport,"one who bears, a bearer, carrier"
vecturarius,i,,vecturarius,male,Waltzing - Rome,98620,Transport,Land transport,a driver
vehicularius,i,,,male,Petrikovits 1981a,98620,Transport,Land transport,of or belonging to carriages or vehicles; post
venator,oris,,venator,male,Waltzing - Rome,64960,Miscellaneous Services,,a hunter
vespillo,onis,,,male,Petrikovits 1981a,59290,Death-care sector,,a corpse-bearer
vestiarius,i,,vestiarius,male,Waltzing - Rome,45130,Retail,,a clothes-dealer
vestifex,icis,,,male,Petrikovits 1981a,79120,Clothing,,tailor
vestificus,i,,,male,Petrikovits 1981a,79120,Clothing,,tailor
vestiplex,icis,,,male,Petrikovits 1981a,79190,Clothing,,a clothes-folder
vestiplicus,i,,,male,Petrikovits 1981a,79190,Clothing,,a clothes-folder
vestitor,oris,,,male,Petrikovits 1981a,79120,Clothing,,tailor
vestrix,icis,,,female,Petrikovits 1981a,88090,Metal-Working,,gold weaver
veteramentarius,i,,,male,Petrikovits 1981a,80190,Building,Stone worker,cobbler
veterarius,i,,,male,Petrikovits 1981a,95920,Miscellaneous Services,,fixer of old things
vexillarius,i,,vexillarius,male,Waltzing - provinces,83990,Miscellaneous Services,Military,"a standard-bearer, maker"
vietor,oris,,,male,Petrikovits 1981a,81990,Household Goods,,basket weaver
viminarius,i,,,male,Petrikovits 1981a,81990,Household Goods,,weaver
vinariarius,i,,vinariarius,male,Waltzing - Rome,45130,Food-Retail,,a wine - dealer
vinarius,i,,vinarius,male,Waltzing - provinces,45130,Food-Retail,,"a wine-dealer, vintner"
violarius,i,,violarius,male,Waltzing - Rome,75625,Clothing,Colour production,a dyer of violet color
viridarius,i,,,male,Petrikovits 1981a,62740,Miscellaneous Services,,gardener
vispillo,onis,,,male,Petrikovits 1981a,59290,Death-care sector,,a corpse-bearer
vitor,oris,,,male,Petrikovits 1981a,81990,Household Goods,,basket weaver
vitrarius,i,,,male,Petrikovits 1981b,89190,Glass-Working,,glass manufacturer
vitrearius,i,,,male,Petrikovits 1981a,89190,Glass-Working,,glass manufacturer
vitriarius,i,,,male,Petrikovits 1981a,89190,Glass-Working,,glass manufacturer
zonarius,i,,,male,Petrikovits 1981a,79690,Clothing,,belt maker
