Term,gen_sg,Term2,Vocab_nom_sg,gender,Source,HISCO_codes,Harris_Category,Subcategory,Translation_eng
canalicularius,i,,,male,Petrikovits 1981a,95290,Water-Management,,"canal constructor, specialized worker"
candelabrarius,i,,,male,Petrikovits 1981a,88090,Metal-Working,,"manufacturer of candelabra, lamp-stand"
candidarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,a baker
candidator,oris,,,male,Petrikovits 1981a,75635,Clothing,,"uncertain, textile washer"
canephorus,i,,canephorus,male,Waltzing,97145,Transport,Land transport,that bears a basket
capidarius,i,,,male,Petrikovits 1981a,89210,Household Goods,,"uncertain, cup maker"
capistrarius,i,,,male,Petrikovits 1981a,79690,Household Goods,,a halter-maker
caplator,oris,,caplator,male,Waltzing - provinces,97145,Transport,,oil transporter
capsarius,i,,,male,Petrikovits 1981a,6310,Miscellaneous Services,,"healing asssitant, producer of capsae (a repository, box, bookcase)"
capulator,oris,,capulator,male,Waltzing - Rome,53240,Miscellaneous Services,,decanter
carbonarius,i,,,male,Petrikovits 1981a,7115,Fuel / Raw material,,"coal handler, worker, miner"
carbonarus,i,,,male,Petrikovits 1981a,7115,Fuel / Raw material,,"coal handler, worker, miner"
carinarius,i,,,male,Petrikovits 1981a,75625,Clothing,Colour production,"he who colors wax-color, a dyer of yellow"
caritor,oris,,,male,Petrikovits 1981a,75220,Clothing,,wool worker
carminator,oris,,,male,Petrikovits 1981a,75110,Clothing,,"a carder, practitioner of carding, a method of preparing wool for use as a textile"
carnarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,"butcher, meat worker, of or belonging to flesh"
carpentarius,i,,,male,Petrikovits 1981b,95410,Transport,Land transport,a wheelwright
carrarius,i,,,male,Petrikovits 1981a,95410,Transport,Land transport,"a wheelwright, cart maker"
carrocarpentarius,i,,,male,Petrikovits 1981a,95410,Transport,Land transport,a wheelwright
cartharius,i,,,male,Petrikovits 1981a,94990,Miscellaneous Services,,papyrus maker
cassidarius,i,,,male,Petrikovits 1981a,83110,Metal-Working,,a helmet smith
catabolensis,ensis,,catabolensis,male,Waltzing - Rome,98690,Transport,Land transport,"a class of carriers who transport burdens by means of draught animals, a kind of muleteers"
caudicarius,i,,caudicarius,male,Waltzing - Rome,98130,Transport,Maritime/water transport,those who sail on such ships (esp. those who brought the corn from Ostia to Rome)
caupo,onis,,,male,Petrikovits 1981a,51090,Retail,,"a petty tradesman, huckster, innkeeper"
cauponarius,i,,cauponarius,male,Waltzing - Rome,51090,Food-Retail,,tavern keeper
cavator,oris,,,male,Petrikovits 1981a,88080,Miscellaneous Services,,"engraver, maker of hollow spaces"
cavidarius,i,,,male,Petrikovits 1981a,89210,Household Goods,,"uncertain, cup maker"
cellararius,i,,,male,Petrikovits 1981a,22440,Household Goods,,"one who keeps provisions, a steward, butler"
cellariarius,i,,,male,Petrikovits 1981b,22440,Household Goods,,"one who keeps provisions, a steward, butler"
cellaricarius,i,,,male,Petrikovits 1981a,22440,Household Goods,,"one who keeps provisions, a steward, butler"
cellarius,i,,,male,Petrikovits 1981a,22440,Household Goods,,"one who keeps provisions, a steward, butler"
cellio,onis,,,male,Petrikovits 1981a,22440,Household Goods,,"one who keeps provisions, a steward, butler"
cementarius,i,,,male,Petrikovits 1981a,95140,Building,Stone worker,mason
centonarius,i,,centonarius,male,Waltzing - Rome,79190,Clothing,,"a maker of patchwork, a dealer in rags"
cerarius,i,,,male,Petrikovits 1981a,99910,Household Goods,,manufacturer of wax products
cerdo,onis,,,male,Petrikovits 1981a,95140,Miscellaneous Services,,a handicraftsman
cerearius,i,,,male,Petrikovits 1981a,53130,Unclassified,,"uncertain worker, maybe baker"
ceriolarius,i,,,male,Petrikovits 1981a,99910,Household Goods,,wax candles manufacturer
ceromatita,ae,,,male,Petrikovits 1981a,7640,Miscellaneous Services,,"masseur, trainer"
cervesarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,"beermaker, brewer"
cesor,oris,,,male,Petrikovits 1981a,94990,Building,Stone worker,stone mason
characteraria,ae,,,male,Petrikovits 1981a,98540,Unclassified,,"uncertain, marker maker or letter maker"
chartarius,i,,,male,Petrikovits 1981a,98620,Miscellaneous Services,,papyrus maker
chorographarius,i,,,male,Petrikovits 1981a,3160,Miscellaneous Services,,"map maker, geograph"
chorographus,i,,,male,Petrikovits 1981a,3160,Miscellaneous Services,,"cartograph, map maker"
ciliciarius,i,,,male,Petrikovits 1981a,75455,Household Goods,,maker of hair carpets
circitor,oris,,circitor,male,Waltzing - provinces,2200,Managerial,,"A watchman, overseer, supervisor"
circumitor,oris,,,male,Petrikovits 1981a,2200,Managerial,,"A watchman, overseer, supervisor"
cisianus,i,,,male,Petrikovits 1981a,94990,Transport,,"uncertain, the maker / driver of a cabriolet"
cisiarius,i,,cisiarius,male,Waltzing - Rome,95290,Transport,Land transport,The maker / driver of a cabriolet
citrarius,i,,citrarius,male,Waltzing - Rome,81120,Household Goods,,maker of furniture out of citrus trees
citratius,i,,,male,Petrikovits 1981a,45130,Retail,,producer and seller of citrus wood products
claharus,i,,,male,Petrikovits 1981a,83990,Metal-Working,,nail maker
clastrarius,i,,,male,Petrikovits 1981a,83990,Household Goods,,lock maker and seller
claustrarius,i,,,male,Petrikovits 1981a,83990,Household Goods,,lock maker and seller
clavarius,i,,,male,Petrikovits 1981a,83990,Metal-Working,,nail maker
clavicarius,i,,,male,Petrikovits 1981a,83990,Metal-Working,,locksmith
claviclarius,i,,,male,Petrikovits 1981a,83990,Metal-Working,,"A bar, bolt of the door maker, or guardian of a prison"
clavicularius,i,,,male,Petrikovits 1981a,83990,Metal-Working,,"A bar, bolt of the door maker, or guardian of a prison"
clepsydrarius,i,,,male,Petrikovits 1981a,99910,Miscellaneous Services,,a maker of water-clocks
clibanarius,i,,clibanarius,male,Waltzing - provinces,53130,Food-Production,Food processing,"a soldier clad in mail, a cuirassier, baker"
cloacarius,i,,,male,Petrikovits 1981a,95120,Water-Management,,canal worker
clostrarius,i,,,male,Petrikovits 1981a,83990,Household Goods,,lock maker and seller
clusor,oris,,,male,Petrikovits 1981a,98130,Unclassified,,"uncertain, one who encloses or encompasses"
coactarius,i,,,male,Petrikovits 1981a,75690,Clothing,,felt maker
coactiliarius,i,,,male,Petrikovits 1981a,75690,Clothing,,felt maker
coactor,oris,,,male,Petrikovits 1981a,75690,Clothing,,felt producer or seller
coator,oris,,,male,Petrikovits 1981a,75690,Clothing,,felt producer or seller
coctarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,a cook
coctiliarius,i,,,male,Petrikovits 1981a,95140,Building,,burnt brick-maker
coctor,oris,,coctor,male,Waltzing - Rome,53130,Food-Production,Food processing,"a cook, master distiller"
coctuarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,a cook
cocus,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,a cook 
codicarius,i,,codicarius,male,Waltzing - Rome,94990,Transport,Maritime/water transport,those who sail on such ships (esp. those who brought the corn from Ostia to Rome)
collectiarius,i,,collectiarius,male,Waltzing - Rome,33150,Finance,,money-changer
colorator,oris,,,male,Petrikovits 1981a,75625,Clothing,Colour production,"dyer, colormaker, painter"
columnarius,i,,,male,Petrikovits 1981a,94990,Building,,column manufacturer
conchylegulus,i,,,male,Petrikovits 1981a,75625,Clothing,Colour production,a collector of purpur shell-fish
conchyliarius,i,,,male,Petrikovits 1981a,75625,Clothing,Colour production,a collector of purpur shell-fish
conchyliolegulus,i,,conchyliolegulus,male,Waltzing - provinces,75625,Clothing,Colour production,a collector of purpur shell-fish
condeatis,is,,,male,Waltzing - provinces,98130,Transport,Maritime/water transport,small boat owner
conditarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,"fine cook, foor preparer"
conditor,oris,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,"cook, a seasoner, pickler"
confector,oris,,,male,Petrikovits 1981a,76145,Miscellaneous Services,,"an accomplisher, finisher, a tanner"
confectorarius,i,,confectorarius,male,Waltzing - Rome,53130,Food-Production,Food processing,a butcher
confectuarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,a butcher
conflator,oris,,,male,Petrikovits 1981a,72510,Metal-Working,,a metal-caster
conquiliarius,i,,,male,Petrikovits 1981a,75625,Clothing,Colour production,a collector of purpur shell-fish
consutor,oris,,,male,Petrikovits 1981a,81120,Building,,"joiner, fixer, trimmer"
copiata,ae,,copiata,male,Waltzing - Rome,59290,Death-care sector,,"a grave-digger, sexton"
copo,onis,,,male,Petrikovits 1981a,51090,Miscellaneous Services,,innkeeper
coquus,i,,coquus,male,Waltzing - Rome,53130,Food-Production,Food processing,cook
corarianus,i,,,male,Petrikovits 1981a,76145,Clothing,,tanner of leather and hides
corarius,i,,corarius,male,Waltzing - Rome,76145,Clothing,,tanner of leather and hides
coriarius,i,,coriarius,male,Waltzing - provinces,76145,Clothing,,"a tanner, currier"
cornicen,nis,,cornicen,male,Waltzing - Rome,17140,Performing Arts,,"a hornblower, trumpeter, cornet-player"
cornuarius,i,,,male,Petrikovits 1981a,95510,Miscellaneous Services,,horn maker
coronarius,i,,coronarius,male,Waltzing - Rome,88090,Miscellaneous Services,,maker of wreaths/crowns
cotiarius,i,,,male,Petrikovits 1981a,82090,Household Goods,,"grinding stone producer, seller"
crepidarius,i,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,"a sandal-maker, shoemaker"
cretaria,ae,,,male,Petrikovits 1981a,45130,Retail,,"a shop for Cretan earth, pottery, seller, maker"
cretarius,i,,,male,EDH/EDCS,45130,Retail,,"a shop for Cretan earth, pottery, pottery maker"
cribrarius,i,,,male,Petrikovits 1981a,95410,Miscellaneous Services,,"screen, sieve maker"
crocotarius,i,,,male,Petrikovits 1981a,75625,Clothing,Colour production,"painter of yellow colour, dyer"
crustarius,i,,,male,Petrikovits 1981a,16150,Plastic Arts,,relief maker
crustularius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,"one who makes pastry, a confectioner"
cucullarius,i,,,male,Petrikovits 1981a,79190,Clothing,,cap / mantel maker
culcitarius,i,,,male,Petrikovits 1981a,79690,Household Goods,,a cushion-maker
culinarius,i,,culinarius,male,Waltzing - provinces,53130,Food-Production,Food processing,"pertaining to the kitchen, culinary, kitchen worker"
cullearius,i,,,male,Petrikovits 1981a,80190,Household Goods,,"maker of a leather bag, sack for liquids"
cultellarius,i,,,male,Petrikovits 1981a,83990,Metal-Working,,maker of a small knife
cultrarius,i,,,male,Petrikovits 1981a,83990,Metal-Working,,"knife maker, cutler"
cunaria,ae,,,female,Petrikovits 1981a,54035,Miscellaneous Services,,"female nanny, babysitter"
cunarius,i,,,male,Petrikovits 1981a,54035,Miscellaneous Services,,"nanny, babysitter"
cunicularius,i,,,male,Petrikovits 1981a,71190,Building,,tunnel builder
cuniculator,oris,,,male,Petrikovits 1981a,71190,Building,,tunnel builder
cuparius,i,,cuparius,male,Waltzing - provinces,81990,Metal-Working,,a cooper
cuppedinarius,i,,,male,Petrikovits 1981a,53130,Food-Production,Food processing,"a maker of dainties, confectioner"
curator,oris,,curator,male,Waltzing,2100,Managerial,,"he who takes charge, a manager, overseer, superintendent, keeper, commissioner, delegate"
curator navium,oris,,curator,male,Waltzing - Rome,21960,Managerial,,ship manager
custodiarius,i,,custodiarius,male,Waltzing - Rome,58930,Miscellaneous Services,,a jailer
dactilidiogliphus,i,,,male,Petrikovits 1981a,88030,Plastic Arts,,a gem cutter
dealbator,oris,,,male,Petrikovits 1981a,95410,Building,,"who whitens over, a whitewasher, a pargeter, plasterer"
deaurator,oris,,,male,Petrikovits 1981a,88090,Metal-Working,,a gilder
decanus,i,,decanus,male,Waltzing - Rome,22610,Managerial,,"A chief of ten, one set over ten persons"
decempedator,oris,,,male,Petrikovits 1981a,3020,Miscellaneous Services,,"a land-measurer, land-surveyor"
dendrophorus,i,,dendrophorus,male,Waltzing - Rome,95510,Building,Wood worker,a carpenter
diabathrarius,i,,,male,Petrikovits 1981a,80110,Clothing,Shoe maker,light-shoe maker
diatretarius,i,,,male,Petrikovits 1981a,16150,Plastic Arts,,"one who does perforated or filigree work, a turner, carver"
diffusitrix,icis,,,female,Petrikovits 1981a,45130,Food-Retail,,female maker and trader of oil
diffusor,oris,,diffusor,male,Waltzing - provinces,45130,Food-Retail,,trader of oil
diffusor oleari,oris,,diffusor,male,Waltzing - Rome,45130,Food-Retail,,oil trader
dissignator,oris,,dissignator,male,Waltzing - provinces,59220,Managerial,,"an undertaker, manager"
