Term;gen_sg;Term2;Vocab_nom_sg;gender;Source;HISCO_majorgroup;HISCO_minorgroup;Harris_Category;Subcategory;Translation_eng
parietarius;i;;;male;Petrikovits 1981a;1;16;Plastic Arts;;a painter
parmaluraius;i;;;male;Petrikovits 1981a;8;83;Miscellaneous Services;Military;small shield maker
pastilarius;i;;pastilarius;male;Waltzing - Rome;5;53;Food-Production;;a maker of pastils
pastillarius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;a maker of pastils
patagiarius;i;;;male;Petrikovits 1981a;7;79;Clothing;;a boler-maker (a gold edging or border on a Roman lady's tunic)
pausarius;i;;pausarius;male;Waltzing - Rome;3;33;Finance;;A money-changer, banker
pavimentarius;i;;pavimentarius;male;Waltzing - Rome;9;95;Building;Stone worker;a maker of pavements
pectenarius;i;;;male;Petrikovits 1981a;8;81;Household Goods;;a combmaker
pectinarius;i;;;male;Petrikovits 1981a;8;81;Household Goods;;a combmaker
pectinator;oris;;;male;Petrikovits 1981a;8;81;Household Goods;;a combmaker
pecuarius;i;;pecuarius;male;Waltzing - Rome;6;62;Food-Production;;sheep, cattle breader
pellarius;i;;;male;Petrikovits 1981a;7;76;Clothing;;one that prepares skins, a furrier
pellicarius;i;;;male;EDH/EDCS;4;43;Retail;;mantle maker
pellio;onis;;;male;Petrikovits 1981a;7;76;Clothing;;one that prepares skins, a furrier
pellionarius;i;;pellionarius;male;Waltzing - Rome;7;76;Clothing;;one who prepared skins for the use of soldiers
peponarius;i;;peponarius;male;Waltzing - Rome;4;45;Food-Retail;;melon seller
pequarius;i;;pequarius;male;Waltzing - Rome;6;62;Food-Production;;sheep, cattle breader
perfector;oris;;;male;Petrikovits 1981a;;;Unclassified;;unclear
pernarius;i;;;male;Petrikovits 1981a;4;45;Food-Retail;;a ham-seller
perpendiculator;oris;;;male;Petrikovits 1981a;9;95;Building;;an artisan who uses a plumb-line, a stonemason
personarius;i;;;male;Petrikovits 1981b;8;88;Miscellaneous Services;;mask maker
pharmacopola;ae;;pharmacopola;male;Waltzing - provinces;4;43;Retail;;a drugseller, quack
phrygio;onis;;;male;Petrikovits 1981a;8;88;Metal-Working;;goldsticker
picarius;i;;;male;Petrikovits 1981a;7;74;Fuel / Raw material;;pitch (resin) boiler
pictor;oris;;;male;Petrikovits 1981a;1;16;Plastic Arts;;painter
pigmentarius;i;;pigmentarius;male;Waltzing - Rome;4;43;Retail;;dye seller
pincerna;ae;;;male;Petrikovits 1981a;5;53;Miscellaneous Services;;cupbearer
pinctor;oris;;;male;Petrikovits 1981a;1;16;Plastic Arts;;painter
piscator;oris;;piscator;male;Waltzing - Rome;6;64;Food-Production;;a fisherman, fisher
piscicapus;i;;piscicapus;male;Waltzing - provinces;6;64;Food-Production;;a fish-catcher
pisticarius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;baker
pistor;oris;;pistor;male;Waltzing - Rome;6;61;Food-Production;;one who pounds corn in a mortar or grinds it in a hand-mill, a miller, a baker
pistrinarius;i;;;male;Petrikovits 1981b;6;61;Food-Production;;the manager of a pounding-mill, a miller
pistrix;icis;;;female;Petrikovits 1981a;5;53;Food-Production;;female baker
pistur;uris;;;male;Petrikovits 1981a;6;61;Food-Production;;one who pounds corn in a mortar or grinds it in a hand-mill, a miller, a baker
placentarius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;a pastry-cook
plasta;ae;;;male;Petrikovits 1981a;1;16;Plastic Arts;;a moulder, potter, modeller, statuary
plastes;ae;;;male;Petrikovits 1981a;1;16;Plastic Arts;;a moulder, potter, modeller, statuary
plasticator;oris;;;male;Petrikovits 1981a;1;16;Plastic Arts;;a moulder, potter, modeller, statuary
plasticus;i;;;male;Petrikovits 1981a;1;16;Plastic Arts;;a moulder, potter, modeller, statuary
plaustrarius;i;;;male;Petrikovits 1981a;9;97;Transport;Land transport;a vehicle for freight, wagon, wain, cart maker
plicatrix;icis;;;female;Petrikovits 1981a;7;79;Clothing;;female dress maker, tailor
plombarius;i;;;male;Petrikovits 1981a;8;87;Metal-Working;;a plumber, lead worker
plostrarius;i;;;male;Petrikovits 1981a;9;97;Transport;Land transport;a vehicle for freight, wagon, wain, cart maker
plumarius;i;;plumarius;male;Waltzing - Rome;7;79;Household Goods;;an embroiderer
plumbarius;i;;;male;Petrikovits 1981a;8;87;Metal-Working;;a plumber, lead worker
plutearius;i;;;male;Petrikovits 1981a;9;95;Building;;a maker of balustrades
plutiarius;i;;;male;Petrikovits 1981a;9;95;Building;;a maker of balustrades
poeta;ae;;poeta;male;Waltzing - Rome;1;17;Performing Arts;;a poet
polio;onis;;;male;Petrikovits 1981a;5;56;Miscellaneous Services;;a cultivator, improver, a polisher
politor;oris;;;male;Petrikovits 1981a;5;56;Miscellaneous Services;;a cultivator, improver, a polisher
pollictor;oris;;;male;Petrikovits 1981a;5;59;Death-care sector;;corpse washer and preparer
pollinctor;oris;;;male;Petrikovits 1981a;5;59;Death-care sector;;corpse washer and preparer
pollio;onis;;;male;Petrikovits 1981a;5;56;Miscellaneous Services;;a cultivator, improver, a polisher
polymitarius;i;;;male;Petrikovits 1981a;7;75;Clothing;;a damask-weaver
pomarius;i;;pomarius;male;Waltzing - provinces;4;45;Food-Retail;;of fruit, of fruittrees seller
popinarius;i;;;male;Petrikovits 1981a;5;53;Food-Retail;;a cook-shop, eatinghouse, low tavern owner
popinator;oris;;;male;Petrikovits 1981a;5;53;Food-Retail;;a cook-shop, eatinghouse, low tavern owner
porcinarius;i;;porcinarius;male;Waltzing - Rome;6;62;Food-Production;;pig breader
possessor;oris;;possessor;male;Waltzing - provinces;2;22;Managerial;;a possessor, owner
professor;oris;;professor;male;Waltzing - provinces;1;13;Education;;a public teacher
promus;i;;;male;Petrikovits 1981a;5;53;Miscellaneous Services;;a cellarer, steward, butler
propola;ae;;propola;male;Waltzing - provinces;4;45;Retail;;a forestaller, retailer, huckster
prosmonus;i;;;male;Petrikovits 1981a;;;Unclassified;;unclear
prossaria;ae;;;male;Petrikovits 1981a;7;75;Clothing;;woolen fabrics maker
psaltes;ae;;psaltes;male;Waltzing - Rome;1;17;Performing Arts;;cithara player
psecas;adis;;;female;Petrikovits 1981a;5;57;Miscellaneous Services;;a female slave who perfumed her mistress's hair
pugillariarius;i;;;male;Petrikovits 1981a;7;73;Miscellaneous Services;;maker of small writing boards
purpurarius;i;;;male;Petrikovits 1981a;7;75;Clothing;Colour production;purple colour dyer
putearius;i;;;male;Petrikovits 1981a;9;95;Building;;a well-digger
quadratarius;i;;;male;Petrikovits 1981a;9;95;Building;Stone worker;stonemason
quadratatorius;i;;;male;Petrikovits 1981a;9;95;Building;Stone worker;stonemason
quadrigularius;i;;;male;Petrikovits 1981a;1;16;Plastic Arts;;a painter
quasillaria;ae;;;female;Petrikovits 1981a;7;75;Clothing;;a basketwench, spinning-girl
raedarius;i;;;male;Petrikovits 1981a;3;36;Transport;Land transport;a coachman, driver of a raeda
ratiarius;i;;ratiarius;male;Waltzing - provinces;9;98;Transport;Maritime/water transport;a raftsman, lighterman
redemptor;oris;;;male;Petrikovits 1981a;5;53;Food-Production;;a miller, bread-maker, baker
refector pectinarius;oris;;refector;male;Petrikovits 1981a;8;81;Household Goods;;a restorer, repairer of combs
resinaria;ae;;;female;Petrikovits 1981a;7;74;Fuel / Raw material;;female resin maker
restiarius;i;;;male;Petrikovits 1981a;4;43;Retail;;A ropemaker, rope-seller
resticularius;i;;;male;Petrikovits 1981a;4;43;Retail;;A ropemaker, rope-seller
restio;onis;;restio;male;Waltzing - Rome;4;43;Retail;;A ropemaker, rope-seller
retiarius;i;;retiarius;male;Waltzing - provinces;1;17;Performing Arts;;a gladiator who used a net to entangle his adversary, net-fighter
retifex;icis;;;male;Petrikovits 1981a;7;79;Miscellaneous Services;;a netmaker
rhedarius;i;;;male;Petrikovits 1981a;3;36;Transport;Land transport;a coachman, driver of a raeda
rhypararographus;i;;;male;Petrikovits 1981a;1;16;Plastic Arts;;a painter
rosarius;i;;rosarius;male;Waltzing - Rome;4;43;Retail;;seller of roses
saburrarius;i;;saburrarius;male;Waltzing - Rome;9;97;Transport;Maritime/water transport;one who carries ballast to ships
sacarius;i;;;male;Petrikovits 1981a;9;97;Transport;Land transport;one who carries sacks, sack maker
saccarius;i;;saccarius;male;Waltzing - Rome;9;97;Transport;Land transport;one who carries sacks, sack maker
sacomarius;i;;;male;Petrikovits 1981a;8;83;Miscellaneous Services;;one who makes counterpoises or weights 
sagarius;i;;sagarius;male;Waltzing - Rome;4;43;Retail;;a dealer in mantles
sagittarius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;arrow-makers, arrow-smiths
sagmarius;i;;;male;Petrikovits 1981a;8;80;Transport;Land transport;manufacturer of pack animal saddles
salarius;i;;salarius;male;Waltzing - Rome;4;43;Retail;;salt maker, dealer
salgamarius;i;;;male;Petrikovits 1981a;4;43;Food-Production;;one who makes or sells pickles
salinator;oris;;salinator;male;Waltzing - provinces;4;45;Food-Retail;;a dealer in salt
salsamentarius;i;;;male;Petrikovits 1981a;4;45;Food-Retail;;a dealer in salted fish
salsarius;i;;;male;EDH/EDCS;6;61;Food-Production;;salt-worker, uncertain
samiarius;i;;;male;Petrikovits 1981a;5;55;Miscellaneous Services;;a polisher, grinder
samiator;oris;;;male;Petrikovits 1981a;5;55;Miscellaneous Services;;a polisher, furbisher
sandaliarius;i;;;male;Petrikovits 1981a;8;80;Clothing;Shoe maker;sandal, shoe maker
sandapilarius;i;;;male;Petrikovits 1981a;5;59;Death-care sector;;one that carries a sandapila, a corpse-bearer
saponarius;i;;saponarius;male;Waltzing - provinces;7;74;Household Goods;;soap producer
sarcinator;oris;;;male;Petrikovits 1981a;7;79;Clothing;;a patcher, botcher, mender of old garments
sarcinatrix;icis;;;female;Petrikovits 1981b;7;79;Clothing;;female patcher, botcher, mender of old garments
sarcitor;oris;;;male;Petrikovits 1981a;7;79;Clothing;;a patcher, botcher, mender of old garments
sarsor;oris;;;male;Petrikovits 1981a;6;61;Miscellaneous Services;;A hoer, weeder, cultivator
sartcitrix;icis;;;female;Petrikovits 1981b;7;79;Clothing;;female patcher, botcher, mender of old garments
sartor;oris;;;male;Petrikovits 1981a;6;61;Miscellaneous Services;;A hoer, weeder, cultivator
sartrix;icis;;;female;Petrikovits 1981b;6;61;Miscellaneous Services;;Female hoer, weeder, cultivator
sartur;uris;;;male;Petrikovits 1981a;6;61;Miscellaneous Services;;A hoer, weeder, cultivator
scabillarius;i;;scabillarius;male;Waltzing - Rome;9;99;Miscellaneous Services;;player of a footstool, cricket
scaenarius;i;;;male;Petrikovits 1981a;1;16;Plastic Arts;;a painter
scaenaticus;i;;scaenaticus;male;Waltzing - Rome;1;17;Performing Arts;;a stageplayer
scaenicus;i;;scaenicus;male;Waltzing - Rome;1;17;Performing Arts;;of the stage, scenic, dramatic, theatrical
scalarius;i;;;male;Petrikovits 1981a;9;95;Building;;step maker, ladder maker
scalptor;oris;;;male;Petrikovits 1981a;1;16;Plastic Arts;;a cutter, graver in metal or stone
scamillarius;i;;scamillarius;male;Waltzing - provinces;9;99;Miscellaneous Services;;player of a footstool, cricket
scandularius;i;;;male;Petrikovits 1981a;9;95;Building;;shingle maker
scapharius;i;;scapharius;male;Waltzing - Rome;0;4;Transport;Maritime/water transport;owner of a small boat
scaurarius;i;;;male;Petrikovits 1981a;7;72;Metal-Working;;slag worker
scholasticus;i;;scholasticus;male;Waltzing - provinces;1;13;Education;;who teaches or studies rhetoric, a lecturer in the schools, a rhetorician
scissor;oris;;;male;Petrikovits 1981a;8;82;Building;;a carver, kind of gladiator
scordiscarius;i;;;male;Petrikovits 1981a;8;80;Transport;Land transport;saddler
scriba;ae;;scriba;male;Waltzing - Rome;3;30;Education;;a public writer, official scribe, professional writer, clerk, secretary
scriblitarius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;a tart-baker
scriptor;oris;;scriptor;male;Petrikovits 1981a;3;30;Managerial;;one who writes, a writer, scribe, copyist, clerk
sculptor;oris;;;male;Petrikovits 1981a;1;16;Plastic Arts;;one who cuts, carves, or engraves in stone, wood
scultor;oris;;;male;Petrikovits 1981a;1;16;Plastic Arts;;one who cuts, carves, or engraves in stone, wood
scutarius;i;;;male;Petrikovits 1981a;8;83;Miscellaneous Services;;shield maker
scutularius;i;;;male;Petrikovits 1981a;8;81;Household Goods;;table maker with diamond shaped decor
sector;oris;;sector;male;Waltzing - Rome;8;82;Building;;one who cuts, a cutter
securicularius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;a little axe maker and seller
segmentarius;i;;;male;Petrikovits 1981a;8;88;Metal-Working;;trimmer with gold or seller
sellularius;i;;;male;Petrikovits 1981a;8;81;Household Goods;;lounger, chair maker
seplasiarius;i;;;male;Petrikovits 1981a;9;94;Miscellaneous Services;;anoitment maker and seller
sericarius;i;;;male;Petrikovits 1981a;7;75;Clothing;;silk producer and dealer
serrarius;i;;serrarius;male;Waltzing - provinces;8;82;Building;Stone worker;stone-sawyer
sessoriarius;i;;;male;Petrikovits 1981a;8;81;Household Goods;;armchair maker
sigillariarius;i;;;male;Petrikovits 1981a;8;89;Household Goods;;a potter
sigillarius;i;;;male;Petrikovits 1981a;8;89;Household Goods;;a potter
sigillator;oris;;;male;Petrikovits 1981a;8;89;Household Goods;;a potter
signarius;i;;;male;Petrikovits 1981a;1;16;Plastic Arts;;a sculptor
signator;oris;;;male;Petrikovits 1981a;3;39;Finance;;one who stamps money, a coiner
silicarius;i;;;male;Petrikovits 1981a;9;95;Building;Stone worker;one that paves roads with pebble-stones
siliginarius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;wheat bread baker
silvicaedus;i;;;male;Petrikovits 1981a;8;81;Building;Wood worker;lumberjack
similaginarius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;wheat bread baker
simpulariarius;i;;;male;Petrikovits 1981a;8;81;Household Goods;;a maker of simpula, ladle maker
sindiniacus;i;;;male;Petrikovits 1981a;7;75;Clothing;;cotton stuff, muslin maker
sindoniacus;i;;sindoniacus;male;Waltzing - provinces;7;75;Clothing;;cotton stuff, muslin maker
sintoniacus;i;;;male;Petrikovits 1981a;7;75;Clothing;;cotton stuff, muslin maker
siricaria;ae;;;male;Petrikovits 1981a;7;75;Clothing;;silk producer and dealer
siricarius;i;;;male;Petrikovits 1981a;7;75;Clothing;;silk producer and dealer
solatarius;i;;;male;Petrikovits 1981a;8;80;Clothing;Shoe maker;shoe maker
solearius;i;;;male;Petrikovits 1981a;8;80;Clothing;Shoe maker;shoe maker
soliarius;i;;;male;Petrikovits 1981a;8;80;Clothing;Shoe maker;shoe maker
sonarius;i;;;male;Petrikovits 1981a;7;75;Clothing;;belt maker
spadicarius;i;;;male;Petrikovits 1981a;7;75;Clothing;Colour production;dyer with brown colour
spatharius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;a broad sword with a double edge, sabre maker
speclariarius;i;;;male;Petrikovits 1981a;8;89;Glass-Working;;a mirror-maker, window glass maker
speclarius;i;;;male;Petrikovits 1981a;8;89;Glass-Working;;a mirror-maker, window glass maker
speculariarius;i;;;male;Petrikovits 1981a;8;89;Glass-Working;;a mirror-maker, window glass maker
specularius;i;;specularius;male;Waltzing - Rome;8;89;Glass-Working;;a mirror-maker, window glass maker
sructor;oris;;;male;Petrikovits 1981a;9;95;Building;Wood worker;a builder, mason, carpenter
stagnarius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;solder, metal worker
stagnator;oris;;;male;Petrikovits 1981a;7;72;Metal-Working;;tin caster
stannator;oris;;;male;Petrikovits 1981a;7;72;Metal-Working;;tin caster
statuarius;i;;;male;Petrikovits 1981a;1;16;Plastic Arts;;a maker of statues, a statuary 
strophiarius;i;;;male;Petrikovits 1981a;1;16;Plastic Arts;;bust maker
structor;oris;;structor;male;Waltzing - Rome;9;95;Building;Wood worker;a builder, mason, carpenter
stuppator;oris;;;male;Petrikovits 1981a;8;81;Building;Wood worker;caulker, joiner
stuppatorius;i;;stuppatorius;male;Waltzing - Rome;4;45;Food-Retail;;seller of coarse flax, tow, oakum
suarius;i;;suarius;male;Waltzing - Rome;6;62;Food-Production;;pig breader
subactarius;i;;;male;Petrikovits 1981a;7;76;Clothing;;tanner
subaedanus;i;;;male;Petrikovits 1981b;5;54;Miscellaneous Services;;worker inside the house
subaedianus;i;;subaedianus;male;Waltzing - Rome;9;95;Building;Wood worker;carpenter ?
subaedius;i;;;male;Petrikovits 1981a;5;54;Miscellaneous Services;;worker inside the house
subedius;i;;;male;Petrikovits 1981a;5;54;Miscellaneous Services;;worker inside the house
subidianus;i;;subidianus;male;Waltzing - provinces;9;95;Building;Wood worker;carpenter ?
subonatris;is;;;female;Petrikovits 1981a;5;57;Miscellaneous Services;;female cosmetic assistant
subrutor;oris;;subrutor;male;Waltzing - Rome;9;99;Building;;demolisher
suffossor;oris;;;male;Petrikovits 1981a;7;71;Fuel / Raw material;;miner
suppostor;oris;;;male;Petrikovits 1981a;3;31;Finance;;coin maker
susceptor;oris;;susceptor;male;Waltzing - Rome;9;99;Miscellaneous Services;;one who undertakes any thing, contractor
sutor;oris;;sutor;male;Waltzing - Rome;8;80;Clothing;Shoe maker;a shoemaker, cobbler
sutriballus;i;;;male;Petrikovits 1981a;8;80;Clothing;Shoe maker;a shoemaker, cobbler
symphonicus;i;;symphonicus;male;Waltzing - Rome;1;17;Performing Arts;;of concerts, of music, musicmaker
tabernaclarius;i;;;male;Petrikovits 1981a;7;79;Miscellaneous Services;;tent maker
tabernacularius;i;;;male;Petrikovits 1981a;7;79;Miscellaneous Services;;tent maker
tabernarius;i;;tabernarius;male;Waltzing - Rome;4;45;Retail;;shopkeepers, small dealers
tector;oris;;tector;male;Waltzing - provinces;9;95;Building;;one that overlays walls with plaster, stucco, etc., a plasterer, pargeter
tegetarius;i;;;male;Petrikovits 1981a;7;79;Household Goods;;a mat-maker
tegularius;i;;;male;Petrikovits 1981a;9;95;Building;;a tile, roof-tile maker
tellionarius;i;;tellionarius;male;Waltzing - Rome;8;80;Clothing;;one who prepared skins for the use of soldiers
tentorarius;i;;;male;Petrikovits 1981a;7;79;Miscellaneous Services;;tent maker
tentorius;i;;;male;Petrikovits 1981a;7;79;Miscellaneous Services;;tent maker
tessalarius;i;;;male;Petrikovits 1981a;1;16;Plastic Arts;;mosaicer, maker of mosaic
tesselator;oris;;;male;Petrikovits 1981a;1;16;Plastic Arts;;mosaicer, maker of mosaic
tessellarius;i;;;male;Petrikovits 1981a;1;16;Plastic Arts;;mosaicer, maker of mosaic
tesserarius lignarius;i;;tesserarius;male;Petrikovits 1981a;8;81;Building;;unclear, cutter of small wooden pieces
testarius;i;;;male;Petrikovits 1981a;9;95;Building;;tile, brick maker
textor;oris;;;male;Petrikovits 1981a;7;75;Clothing;;weaver
textricula;ae;;;female;Petrikovits 1981a;7;75;Clothing;;a little (female) weaver
textrix;icis;;;female;Petrikovits 1981a;7;75;Clothing;;female weaver
tibiarius;i;;;male;Petrikovits 1981a;9;95;Transport;Maritime/water transport;fleet manufacturer, ship maker
tibicinus;i;;tibicinus;male;Waltzing - Rome;1;17;Performing Arts;;flute player
ticnarius;i;;;male;Petrikovits 1981a;9;95;Building;Wood worker;carpenter
tignarius;i;;tignarius;male;Waltzing - provinces;9;95;Building;Wood worker;carpenter
tignor;oris;;;male;Petrikovits 1981a;9;95;Building;Wood worker;carpenter
tignoserrarius;i;;;male;Petrikovits 1981a;8;81;Building;Wood worker;board/wood cutter
tignuarius;i;;;male;Petrikovits 1981a;9;95;Building;Wood worker;carpenter
tinctor;oris;;tinctor;male;Waltzing - Rome;7;75;Clothing;Colour production;a dyer
tomacularius;i;;;male;Petrikovits 1981a;7;77;Food-Production;;a sausage, liver-sausage maker, butcher
tonsillaria;ae;;;female;Petrikovits 1981a;5;57;Miscellaneous Services;;female hairdresser
tonsor;oris;;tonsor;male;Waltzing - Rome;5;57;Miscellaneous Services;;a shearer, clipper, shaver, hair-cutter, barber
tonstricula;ae;;;female;Petrikovits 1981a;5;57;Miscellaneous Services;;female hairdresser
tonstrix;icis;;;female;Petrikovits 1981a;5;55;Miscellaneous Services;;female hairdresser and shearers
topiarius;i;;;male;Petrikovits 1981a;5;55;Miscellaneous Services;;gardener, landscaper
torcularius;i;;;male;Petrikovits 1981a;5;56;Miscellaneous Services;;a presser, pressman
toreuta;ae;;;male;Petrikovits 1981a;1;16;Plastic Arts;;one who makes embossed work, a chaser, graver
toreutes;ae;;;male;Petrikovits 1981a;1;16;Plastic Arts;;one who makes embossed work, a chaser, graver
toreuticesis;esis;;;male;Petrikovits 1981a;8;83;Metal-Working;;unspecified metal worker
tornator;oris;;;male;Petrikovits 1981a;9;99;Miscellaneous Services;;a turner
tosillaria;ae;;;female;Petrikovits 1981a;5;57;Miscellaneous Services;;female hairdresser
tosor;oris;;;male;Petrikovits 1981a;5;57;Miscellaneous Services;;hairdresser and shearers
tostrix;icis;;;female;Petrikovits 1981a;5;57;Miscellaneous Services;;female hairdresser and shearers
tractator;oris;;;male;Petrikovits 1981a;0;6;Miscellaneous Services;;"A slave among the Romans, who manipulated and suppled his master's limbs while anointing them; a shampooer"
transvectuarius;i;;transvectuarius;male;Waltzing - provinces;0;4;Transport;Maritime/water transport;ship owner
trapezita;ae;;trapezita;male;Waltzing - provinces;3;33;Finance;;a money-changer
tribor argentarius;oris;;tribor;male;Petrikovits 1981a;8;88;Metal-Working;;silver polisher
trigalianus;i;;;male;Petrikovits 1981a;;;Unclassified;;unclear
triliciarius;i;;;male;Petrikovits 1981a;7;79;Clothing;;maker of three-thread fabric
tubarius;i;;;male;Petrikovits 1981a;8;83;Miscellaneous Services;Military;a trumpet, war-trumpet maker and distributor
tubularius;i;;;male;Petrikovits 1981a;8;87;Water-Management;;pipe maker
tudiator;oris;;;male;Petrikovits 1981a;7;71;Metal-Working;;miner, ore extractor
tussor;oris;;;male;Petrikovits 1981a;5;57;Miscellaneous Services;;hairdresser and shearers
uctor;oris;;;male;Petrikovits 1981a;5;57;Miscellaneous Services;;an anointer
unctor;oris;;unctor;male;Waltzing - Rome;5;57;Miscellaneous Services;;an anointer
unctrix;icis;;;female;Petrikovits 1981a;5;57;Miscellaneous Services;;female perfume or ointment maker
ungnetarius;i;;;male;Petrikovits 1981a;5;57;Miscellaneous Services;;perfume or ointment maker
unguentarius;i;;;male;Petrikovits 1981a;5;57;Miscellaneous Services;;perfume or ointment maker
urinator;oris;;urinator;male;Waltzing - Rome;6;64;Food-Production;;a fisherman
ursarus;i;;ursarus;male;Waltzing - provinces;6;64;Miscellaneous Services;;hunter of wild bears
ustor;oris;;;male;Petrikovits 1981a;5;59;Death-care sector;;mortician
utriclarius;i;;utriclarius;male;Waltzing - provinces;0;4;Transport;Maritime/water transport;a bagpiper, The master of a raft floated on bladders, used for ferriage
utricularius;i;;utricularius;male;Waltzing - provinces;0;4;Transport;Maritime/water transport;a bagpiper, The master of a raft floated on bladders, used for ferriage
valvarius;i;;;male;Petrikovits 1981a;8;81;Building;Wood worker;double-door maker
varietarius;i;;;male;Petrikovits 1981a;0;2;Building;;builder
vasarius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;barrel smith
vasclarius;i;;;male;Petrikovits 1981a;8;88;Metal-Working;;a worker in metals, whitesmith, goldsmith
vascularius;i;;vascularius;male;Waltzing - Rome;8;88;Metal-Working;;a worker in metals, whitesmith, goldsmith
vector;oris;;vector;male;Waltzing - Rome;9;97;Transport;Land transport;one who bears, a bearer, carrier
vecturarius;i;;vecturarius;male;Waltzing - Rome;3;36;Transport;Land transport;a driver
vehicularius;i;;;male;Petrikovits 1981a;9;97;Transport;Land transport;"of or belonging to carriages or vehicles; post"
venator;oris;;venator;male;Waltzing - Rome;6;64;Miscellaneous Services;;a hunter
vespillo;onis;;;male;Petrikovits 1981a;5;59;Death-care sector;;a corpse-bearer
vestiarius;i;;vestiarius;male;Waltzing - Rome;4;43;Retail;;a clothes-dealer
vestifex;icis;;;male;Petrikovits 1981a;7;79;Clothing;;tailor
vestificus;i;;;male;Petrikovits 1981a;7;79;Clothing;;tailor
vestiplex;icis;;;male;Petrikovits 1981a;7;79;Clothing;;a clothes-folder
vestiplicus;i;;;male;Petrikovits 1981a;7;79;Clothing;;a clothes-folder
vestitor;oris;;;male;Petrikovits 1981a;7;79;Clothing;;tailor
vestrix;icis;;;female;Petrikovits 1981a;8;88;Metal-Working;;gold weaver
veteramentarius;i;;;male;Petrikovits 1981a;8;95;Building;Stone worker;cobbler
veterarius;i;;;male;Petrikovits 1981a;9;99;Miscellaneous Services;;fixer of old things
vexillarius;i;;vexillarius;male;Waltzing - provinces;8;83;Miscellaneous Services;Military;a standard-bearer, maker
vietor;oris;;;male;Petrikovits 1981a;8;81;Household Goods;;basket weaver
viminarius;i;;;male;Petrikovits 1981a;8;81;Household Goods;;weaver
vinariarius;i;;vinariarius;male;Waltzing - Rome;4;43;Food-Retail;;a wine - dealer
vinarius;i;;vinarius;male;Waltzing - provinces;4;43;Food-Retail;;a wine-dealer, vintner
violarius;i;;violarius;male;Waltzing - Rome;7;75;Clothing;Colour production;a dyer of violet color
viridarius;i;;;male;Petrikovits 1981a;5;55;Miscellaneous Services;;gardener
vispillo;onis;;;male;Petrikovits 1981a;5;59;Death-care sector;;a corpse-bearer
vitor;oris;;;male;Petrikovits 1981a;8;81;Household Goods;;basket weaver
vitrarius;i;;;male;Petrikovits 1981b;8;89;Glass-Working;;glass manufacturer
vitrearius;i;;;male;Petrikovits 1981a;8;89;Glass-Working;;glass manufacturer
vitriarius;i;;;male;Petrikovits 1981a;8;89;Glass-Working;;glass manufacturer
zonarius;i;;;male;Petrikovits 1981a;7;79;Clothing;;belt maker
