Term;gen_sg;Term2;Vocab_nom_sg;gender;Source;HISCO_majorgroup;HISCO_minorgroup;Harris_Category;Subcategory;Translation_eng
bustuarius;i;;;male;Petrikovits 1981a;5;59;Death-care sector;;cremator
cabator;oris;;;male;Petrikovits 1981a;8;83;Miscellaneous Services;;engraver, maker of hollow spaces
cabidarius;i;;;male;Petrikovits 1981a;8;83;Household Goods;;uncertain, cup maker
caelator;oris;;;male;Petrikovits 1981a;1;16;Plastic Arts;;relief maker, carver
caementarius;i;;;male;Petrikovits 1981a;9;95;Building;Stone worker;mason
caesor;oris;;;male;Petrikovits 1981a;9;95;Building;Stone worker;stone mason
calcarensis;ensis;;;male;Petrikovits 1981a;7;74;Building;Stone worker;a limeburner
calcariensis;ensis;;calcariensis;male;Waltzing - Rome;7;74;Building;Stone worker;a limeburner
calcarius;i;;;male;Petrikovits 1981a;7;71;Building;Stone worker;limestone quarry worker
calcearius;i;;;male;Petrikovits 1981a;7;71;Building;Stone worker;limestone quarry worker
calceator;oris;;;male;Petrikovits 1981a;8;80;Clothing;Shoe maker;a shoemaker
calceolarius;i;;;male;Petrikovits 1981a;8;80;Clothing;Shoe maker;a shoemaker
calciamentarius;i;;;male;Petrikovits 1981a;8;80;Clothing;Shoe maker;a shoemaker
calciator;oris;;;male;Petrikovits 1981a;8;80;Clothing;Shoe maker;a shoemaker
calcis coctor;oris;;coctor;male;Waltzing - Rome;7;74;Building;Stone worker;limeburner
calegarius;i;;;male;Petrikovits 1981a;8;80;Clothing;Shoe maker;a shoemaker
caligarius;i;;caligarius;male;Waltzing - Rome;8;80;Clothing;Shoe maker;a shoemaker
camararius;i;;;male;Petrikovits 1981a;9;95;Building;;vault building worker
camarius;i;;;male;Petrikovits 1981a;9;95;Building;;vault building worker
canalicularius;i;;;male;Petrikovits 1981a;9;95;Water-Management;;canal constructor, specialized worker
candelabrarius;i;;;male;Petrikovits 1981a;8;83;Metal-Working;;manufacturer of candelabra, lamp-stand
candidarius;i;;;male;Petrikovits 1981a;5;53;Food-Production;;a baker
candidator;oris;;;male;Petrikovits 1981a;7;79;Clothing;;uncertain, textile washer
canephorus;i;;canephorus;male;Waltzing;9;97;Transport;Land transport;that bears a basket
capidarius;i;;;male;Petrikovits 1981a;8;83;Household Goods;;uncertain, cup maker
capistrarius;i;;;male;Petrikovits 1981a;8;80;Household Goods;;a halter-maker
caplator;oris;;caplator;male;Waltzing - provinces;9;97;Transport;;oil transporter
capsarius;i;;;male;Petrikovits 1981a;0;6;Miscellaneous Services;;healing asssitant, producer of capsae (a repository, box, bookcase)
capulator;oris;;capulator;male;Waltzing - Rome;5;53;Miscellaneous Services;;decanter
carbonarius;i;;;male;Petrikovits 1981a;7;71;Fuel / Raw material;;coal handler, worker, miner
carbonarus;i;;;male;Petrikovits 1981a;7;71;Fuel / Raw material;;coal handler, worker, miner
carinarius;i;;;male;Petrikovits 1981a;7;75;Clothing;Colour production;he who colors wax-color, a dyer of yellow
caritor;oris;;;male;Petrikovits 1981a;7;75;Clothing;;wool worker
carminator;oris;;;male;Petrikovits 1981a;7;75;Clothing;;a carder, practitioner of carding, a method of preparing wool for use as a textile
